Logging
ITERATION 245.0000 | TOTAL G LOSS -4.0609
ITERATION 246.0000 | TOTAL G LOSS -4.1576
ITERATION 247.0000 | TOTAL G LOSS -4.1149
ITERATION 248.0000 | TOTAL G LOSS -4.1908
ITERATION 249.0000 | TOTAL G LOSS -4.1480
ITERATION 250.0000 | TOTAL G LOSS -4.4864
ITERATION 251.0000 | TOTAL G LOSS -4.6199
ITERATION 252.0000 | TOTAL G LOSS -3.9927
ITERATION 253.0000 | TOTAL G LOSS -4.3439
ITERATION 254.0000 | TOTAL G LOSS -4.3803
ITERATION 255.0000 | TOTAL G LOSS -4.6490
ITERATION 256.0000 | TOTAL G LOSS -4.3660
ITERATION 257.0000 | TOTAL G LOSS -4.3393
ITERATION 258.0000 | TOTAL G LOSS -4.6650
ITERATION 259.0000 | TOTAL G LOSS -4.3854
ITERATION 260.0000 | TOTAL G LOSS -4.9418
ITERATION 261.0000 | TOTAL G LOSS -4.6116
ITERATION 262.0000 | TOTAL G LOSS -4.8149
ITERATION 263.0000 | TOTAL G LOSS -4.4957
ITERATION 264.0000 | TOTAL G LOSS -4.8522
ITERATION 265.0000 | TOTAL G LOSS -4.8243
ITERATION 266.0000 | TOTAL G LOSS -4.8331
ITERATION 267.0000 | TOTAL G LOSS -5.2152
ITERATION 268.0000 | TOTAL G LOSS -4.9371
ITERATION 269.0000 | TOTAL G LOSS -5.2322
ITERATION 270.0000 | TOTAL G LOSS -5.1516
ITERATION 271.0000 | TOTAL G LOSS -5.2625
ITERATION 272.0000 | TOTAL G LOSS -5.1097
ITERATION 273.0000 | TOTAL G LOSS -4.2895
ITERATION 274.0000 | TOTAL G LOSS -5.3322
ITERATION 275.0000 | TOTAL G LOSS -4.6873
ITERATION 276.0000 | TOTAL G LOSS -5.1499
ITERATION 277.0000 | TOTAL G LOSS -5.4066
ITERATION 278.0000 | TOTAL G LOSS -5.3830
ITERATION 279.0000 | TOTAL G LOSS -5.7759
ITERATION 280.0000 | TOTAL G LOSS -5.9874
ITERATION 281.0000 | TOTAL G LOSS -5.5290
ITERATION 282.0000 | TOTAL G LOSS -5.5579
ITERATION 283.0000 | TOTAL G LOSS -5.4923
ITERATION 284.0000 | TOTAL G LOSS -5.9127
ITERATION 285.0000 | TOTAL G LOSS -6.0136
ITERATION 286.0000 | TOTAL G LOSS -6.0992
ITERATION 287.0000 | TOTAL G LOSS -6.1966
ITERATION 288.0000 | TOTAL G LOSS -5.9009
ITERATION 289.0000 | TOTAL G LOSS -5.8263
ITERATION 290.0000 | TOTAL G LOSS -6.9636
ITERATION 291.0000 | TOTAL G LOSS -6.1203
ITERATION 292.0000 | TOTAL G LOSS -5.8565
ITERATION 293.0000 | TOTAL G LOSS -6.8407
ITERATION 294.0000 | TOTAL G LOSS -6.5047
ITERATION 295.0000 | TOTAL G LOSS -6.2630
ITERATION 296.0000 | TOTAL G LOSS -6.5741
ITERATION 297.0000 | TOTAL G LOSS -6.4921
ITERATION 298.0000 | TOTAL G LOSS -6.4518
ITERATION 299.0000 | TOTAL G LOSS -6.7788
ITERATION 300.0000 | TOTAL G LOSS -6.5555
ITERATION 301.0000 | TOTAL G LOSS -6.7034
ITERATION 302.0000 | TOTAL G LOSS -7.0836
ITERATION 303.0000 | TOTAL G LOSS -7.3678
ITERATION 304.0000 | TOTAL G LOSS -6.7938
ITERATION 305.0000 | TOTAL G LOSS -7.5222
ITERATION 306.0000 | TOTAL G LOSS -6.6129
ITERATION 307.0000 | TOTAL G LOSS -7.5266
ITERATION 308.0000 | TOTAL G LOSS -6.5772
ITERATION 309.0000 | TOTAL G LOSS -6.7143
ITERATION 310.0000 | TOTAL G LOSS -7.1135
ITERATION 311.0000 | TOTAL G LOSS -6.6762
ITERATION 312.0000 | TOTAL G LOSS -7.0561
ITERATION 313.0000 | TOTAL G LOSS -6.9679
ITERATION 314.0000 | TOTAL G LOSS -7.4516
ITERATION 315.0000 | TOTAL G LOSS -7.3503
ITERATION 316.0000 | TOTAL G LOSS -7.3320
ITERATION 317.0000 | TOTAL G LOSS -6.9592
ITERATION 318.0000 | TOTAL G LOSS -6.6967
ITERATION 319.0000 | TOTAL G LOSS -7.9790
ITERATION 320.0000 | TOTAL G LOSS -7.2770
ITERATION 321.0000 | TOTAL G LOSS -6.8838
ITERATION 322.0000 | TOTAL G LOSS -7.5632
ITERATION 323.0000 | TOTAL G LOSS -7.2588
ITERATION 324.0000 | TOTAL G LOSS -7.9603
ITERATION 325.0000 | TOTAL G LOSS -7.3151
ITERATION 326.0000 | TOTAL G LOSS -7.6175
ITERATION 327.0000 | TOTAL G LOSS -7.9852
ITERATION 328.0000 | TOTAL G LOSS -8.1656
ITERATION 329.0000 | TOTAL G LOSS -7.5702
ITERATION 330.0000 | TOTAL G LOSS -7.9627
ITERATION 331.0000 | TOTAL G LOSS -7.4694
ITERATION 332.0000 | TOTAL G LOSS -8.3876
ITERATION 333.0000 | TOTAL G LOSS -8.0885
ITERATION 334.0000 | TOTAL G LOSS -8.6023
ITERATION 335.0000 | TOTAL G LOSS -7.5418
ITERATION 336.0000 | TOTAL G LOSS -8.8013
ITERATION 337.0000 | TOTAL G LOSS -8.6710
ITERATION 338.0000 | TOTAL G LOSS -7.8328
ITERATION 339.0000 | TOTAL G LOSS -8.5562
ITERATION 340.0000 | TOTAL G LOSS -8.0940
ITERATION 341.0000 | TOTAL G LOSS -8.2736
ITERATION 342.0000 | TOTAL G LOSS -8.1538
