Logging
iteration 5750 | D LOSS = 1.3750 | G LOSS = -0.0290 | AVG R =0.4942 | mean_pen: 0.0002 |  
iteration 5800 | D LOSS = 1.3746 | G LOSS = -0.0365 | AVG R =0.4947 | mean_pen: 0.0003 |  
iteration 5850 | D LOSS = 1.3753 | G LOSS = -0.0424 | AVG R =0.4940 | mean_pen: 0.0003 |  
iteration 5900 | D LOSS = 1.3747 | G LOSS = -0.0291 | AVG R =0.4946 | mean_pen: 0.0003 |  
iteration 5950 | D LOSS = 1.3754 | G LOSS = -0.0398 | AVG R =0.4946 | mean_pen: 0.0002 |  
iteration 6000 | D LOSS = 1.3750 | G LOSS = -0.0289 | AVG R =0.4945 | mean_pen: 0.0002 |  
iteration 6050 | D LOSS = 1.3743 | G LOSS = -0.0292 | AVG R =0.4948 | mean_pen: 0.0002 |  
iteration 6100 | D LOSS = 1.3749 | G LOSS = -0.0216 | AVG R =0.4947 | mean_pen: 0.0002 |  
iteration 6150 | D LOSS = 1.3747 | G LOSS = -0.0319 | AVG R =0.4939 | mean_pen: 0.0003 |  
iteration 6200 | D LOSS = 1.3746 | G LOSS = -0.0261 | AVG R =0.4945 | mean_pen: 0.0003 |  
iteration 6250 | D LOSS = 1.3750 | G LOSS = -0.0361 | AVG R =0.4942 | mean_pen: 0.0002 |  
iteration 6300 | D LOSS = 1.3752 | G LOSS = -0.0367 | AVG R =0.4942 | mean_pen: 0.0003 |  
iteration 6350 | D LOSS = 1.3748 | G LOSS = -0.0290 | AVG R =0.4949 | mean_pen: 0.0003 |  
iteration 6400 | D LOSS = 1.3749 | G LOSS = -0.0326 | AVG R =0.4949 | mean_pen: 0.0002 |  
iteration 6450 | D LOSS = 1.3758 | G LOSS = -0.0281 | AVG R =0.4946 | mean_pen: 0.0003 |  
iteration 6500 | D LOSS = 1.3755 | G LOSS = -0.0318 | AVG R =0.4946 | mean_pen: 0.0003 |  
iteration 6550 | D LOSS = 1.3751 | G LOSS = -0.0326 | AVG R =0.4945 | mean_pen: 0.0002 |  
iteration 6600 | D LOSS = 1.3763 | G LOSS = -0.0296 | AVG R =0.4945 | mean_pen: 0.0003 |  
iteration 6650 | D LOSS = 1.3758 | G LOSS = -0.0184 | AVG R =0.4948 | mean_pen: 0.0002 |  
iteration 6700 | D LOSS = 1.3766 | G LOSS = -0.0308 | AVG R =0.4947 | mean_pen: 0.0003 |  
iteration 6750 | D LOSS = 1.3772 | G LOSS = -0.0346 | AVG R =0.4951 | mean_pen: 0.0002 |  
iteration 6800 | D LOSS = 1.3766 | G LOSS = -0.0228 | AVG R =0.4954 | mean_pen: 0.0002 |  
iteration 6850 | D LOSS = 1.3761 | G LOSS = -0.0321 | AVG R =0.4951 | mean_pen: 0.0003 |  
iteration 6900 | D LOSS = 1.3760 | G LOSS = -0.0243 | AVG R =0.4949 | mean_pen: 0.0002 |  
iteration 6950 | D LOSS = 1.3765 | G LOSS = -0.0232 | AVG R =0.4952 | mean_pen: 0.0002 |  
iteration 7000 | D LOSS = 1.3766 | G LOSS = -0.0311 | AVG R =0.4955 | mean_pen: 0.0003 |  
iteration 7050 | D LOSS = 1.3756 | G LOSS = -0.0274 | AVG R =0.4952 | mean_pen: 0.0003 |  
iteration 7100 | D LOSS = 1.3771 | G LOSS = -0.0260 | AVG R =0.4955 | mean_pen: 0.0002 |  
iteration 7150 | D LOSS = 1.3771 | G LOSS = -0.0295 | AVG R =0.4951 | mean_pen: 0.0002 |  
iteration 7200 | D LOSS = 1.3762 | G LOSS = -0.0390 | AVG R =0.4954 | mean_pen: 0.0002 |  
iteration 7250 | D LOSS = 1.3774 | G LOSS = -0.0309 | AVG R =0.4951 | mean_pen: 0.0002 |  
iteration 7300 | D LOSS = 1.3776 | G LOSS = -0.0252 | AVG R =0.4952 | mean_pen: 0.0002 |  
iteration 7350 | D LOSS = 1.3772 | G LOSS = -0.0327 | AVG R =0.4953 | mean_pen: 0.0002 |  
iteration 7400 | D LOSS = 1.3765 | G LOSS = -0.0453 | AVG R =0.4953 | mean_pen: 0.0002 |  
iteration 7450 | D LOSS = 1.3778 | G LOSS = -0.0366 | AVG R =0.4958 | mean_pen: 0.0002 |  
iteration 7500 | D LOSS = 1.3774 | G LOSS = -0.0365 | AVG R =0.4954 | mean_pen: 0.0002 |  
iteration 7550 | D LOSS = 1.3781 | G LOSS = -0.0268 | AVG R =0.4955 | mean_pen: 0.0003 |  
iteration 7600 | D LOSS = 1.3776 | G LOSS = -0.0322 | AVG R =0.4959 | mean_pen: 0.0002 |  
iteration 7650 | D LOSS = 1.3778 | G LOSS = -0.0223 | AVG R =0.4956 | mean_pen: 0.0002 |  
iteration 7700 | D LOSS = 1.3777 | G LOSS = -0.0239 | AVG R =0.4958 | mean_pen: 0.0002 |  
iteration 7750 | D LOSS = 1.3769 | G LOSS = -0.0395 | AVG R =0.4957 | mean_pen: 0.0002 |  
iteration 7800 | D LOSS = 1.3781 | G LOSS = -0.0372 | AVG R =0.4953 | mean_pen: 0.0002 |  
iteration 7850 | D LOSS = 1.3777 | G LOSS = -0.0277 | AVG R =0.4955 | mean_pen: 0.0002 |  
iteration 7900 | D LOSS = 1.3774 | G LOSS = -0.0368 | AVG R =0.4961 | mean_pen: 0.0002 |  
iteration 7950 | D LOSS = 1.3780 | G LOSS = -0.0333 | AVG R =0.4957 | mean_pen: 0.0002 |  
iteration 8000 | D LOSS = 1.3774 | G LOSS = -0.0286 | AVG R =0.4957 | mean_pen: 0.0002 |  
iteration 8050 | D LOSS = 1.3779 | G LOSS = -0.0327 | AVG R =0.4967 | mean_pen: 0.0003 |  
iteration 8100 | D LOSS = 1.3781 | G LOSS = -0.0379 | AVG R =0.4959 | mean_pen: 0.0002 |  
iteration 8150 | D LOSS = 1.3791 | G LOSS = -0.0332 | AVG R =0.4961 | mean_pen: 0.0002 |  
iteration 8200 | D LOSS = 1.3783 | G LOSS = -0.0400 | AVG R =0.4960 | mean_pen: 0.0001 |  
iteration 8250 | D LOSS = 1.3782 | G LOSS = -0.0317 | AVG R =0.4958 | mean_pen: 0.0002 |  
iteration 8300 | D LOSS = 1.3786 | G LOSS = -0.0339 | AVG R =0.4960 | mean_pen: 0.0002 |  
iteration 8350 | D LOSS = 1.3785 | G LOSS = -0.0458 | AVG R =0.4958 | mean_pen: 0.0002 |  
iteration 8400 | D LOSS = 1.3781 | G LOSS = -0.0362 | AVG R =0.4962 | mean_pen: 0.0002 |  
iteration 8450 | D LOSS = 1.3789 | G LOSS = -0.0329 | AVG R =0.4962 | mean_pen: 0.0002 |  
iteration 8500 | D LOSS = 1.3783 | G LOSS = -0.0380 | AVG R =0.4965 | mean_pen: 0.0002 |  
iteration 8550 | D LOSS = 1.3795 | G LOSS = -0.0424 | AVG R =0.4961 | mean_pen: 0.0001 |  
iteration 8600 | D LOSS = 1.3790 | G LOSS = -0.0389 | AVG R =0.4959 | mean_pen: 0.0002 |  
iteration 8650 | D LOSS = 1.3788 | G LOSS = -0.0296 | AVG R =0.4957 | mean_pen: 0.0002 |  
iteration 8700 | D LOSS = 1.3785 | G LOSS = -0.0324 | AVG R =0.4960 | mean_pen: 0.0002 |  
iteration 8750 | D LOSS = 1.3784 | G LOSS = -0.0286 | AVG R =0.4961 | mean_pen: 0.0002 |  
iteration 8800 | D LOSS = 1.3790 | G LOSS = -0.0323 | AVG R =0.4961 | mean_pen: 0.0002 |  
iteration 8850 | D LOSS = 1.3792 | G LOSS = -0.0351 | AVG R =0.4963 | mean_pen: 0.0001 |  
iteration 8900 | D LOSS = 1.3793 | G LOSS = -0.0305 | AVG R =0.4962 | mean_pen: 0.0001 |  
iteration 8950 | D LOSS = 1.3788 | G LOSS = -0.0363 | AVG R =0.4966 | mean_pen: 0.0002 |  
iteration 9000 | D LOSS = 1.3794 | G LOSS = -0.0358 | AVG R =0.4962 | mean_pen: 0.0002 |  
iteration 9050 | D LOSS = 1.3790 | G LOSS = -0.0283 | AVG R =0.4967 | mean_pen: 0.0002 |  
iteration 9100 | D LOSS = 1.3788 | G LOSS = -0.0303 | AVG R =0.4969 | mean_pen: 0.0002 |  
iteration 9150 | D LOSS = 1.3795 | G LOSS = -0.0436 | AVG R =0.4965 | mean_pen: 0.0001 |  
iteration 9200 | D LOSS = 1.3796 | G LOSS = -0.0276 | AVG R =0.4970 | mean_pen: 0.0001 |  
iteration 9250 | D LOSS = 1.3801 | G LOSS = -0.0365 | AVG R =0.4969 | mean_pen: 0.0001 |  
iteration 9300 | D LOSS = 1.3796 | G LOSS = -0.0309 | AVG R =0.4966 | mean_pen: 0.0002 |  
iteration 9350 | D LOSS = 1.3791 | G LOSS = -0.0350 | AVG R =0.4967 | mean_pen: 0.0002 |  
iteration 9400 | D LOSS = 1.3798 | G LOSS = -0.0242 | AVG R =0.4968 | mean_pen: 0.0001 |  
iteration 9450 | D LOSS = 1.3800 | G LOSS = -0.0298 | AVG R =0.4968 | mean_pen: 0.0001 |  
iteration 9500 | D LOSS = 1.3798 | G LOSS = -0.0312 | AVG R =0.4967 | mean_pen: 0.0001 |  
iteration 9550 | D LOSS = 1.3799 | G LOSS = -0.0281 | AVG R =0.4970 | mean_pen: 0.0001 |  
iteration 9600 | D LOSS = 1.3800 | G LOSS = -0.0203 | AVG R =0.4972 | mean_pen: 0.0001 |  
iteration 9650 | D LOSS = 1.3801 | G LOSS = -0.0290 | AVG R =0.4973 | mean_pen: 0.0001 |  
iteration 9700 | D LOSS = 1.3808 | G LOSS = -0.0287 | AVG R =0.4967 | mean_pen: 0.0001 |  
iteration 9750 | D LOSS = 1.3805 | G LOSS = -0.0262 | AVG R =0.4969 | mean_pen: 0.0001 |  
iteration 9800 | D LOSS = 1.3798 | G LOSS = -0.0428 | AVG R =0.4965 | mean_pen: 0.0001 |  
iteration 9850 | D LOSS = 1.3797 | G LOSS = -0.0324 | AVG R =0.4970 | mean_pen: 0.0001 |  
iteration 9900 | D LOSS = 1.3799 | G LOSS = -0.0352 | AVG R =0.4970 | mean_pen: 0.0001 |  
iteration 9950 | D LOSS = 1.3808 | G LOSS = -0.0389 | AVG R =0.4973 | mean_pen: 0.0001 |  
iteration 10000 | D LOSS = 1.3807 | G LOSS = -0.0331 | AVG R =0.4972 | mean_pen: 0.0001 |  
iteration 10050 | D LOSS = 1.3803 | G LOSS = -0.0430 | AVG R =0.4972 | mean_pen: 0.0001 |  
iteration 10100 | D LOSS = 1.3807 | G LOSS = -0.0427 | AVG R =0.4970 | mean_pen: 0.0001 |  
iteration 10150 | D LOSS = 1.3805 | G LOSS = -0.0325 | AVG R =0.4971 | mean_pen: 0.0002 |  
