Logging
iteration 9250 | D LOSS = 1.3546 | G LOSS = 0.0098 | AVG R =0.4843 | mean_pen: 0.0003 |  
iteration 9300 | D LOSS = 1.3557 | G LOSS = 0.0101 | AVG R =0.4845 | mean_pen: 0.0002 |  
iteration 9350 | D LOSS = 1.3553 | G LOSS = 0.0101 | AVG R =0.4842 | mean_pen: 0.0003 |  
iteration 9400 | D LOSS = 1.3555 | G LOSS = 0.0089 | AVG R =0.4848 | mean_pen: 0.0003 |  
iteration 9450 | D LOSS = 1.3559 | G LOSS = 0.0104 | AVG R =0.4847 | mean_pen: 0.0003 |  
iteration 9500 | D LOSS = 1.3546 | G LOSS = 0.0102 | AVG R =0.4852 | mean_pen: 0.0003 |  
iteration 9550 | D LOSS = 1.3551 | G LOSS = 0.0109 | AVG R =0.4843 | mean_pen: 0.0003 |  
iteration 9600 | D LOSS = 1.3545 | G LOSS = 0.0094 | AVG R =0.4841 | mean_pen: 0.0002 |  
iteration 9650 | D LOSS = 1.3551 | G LOSS = 0.0093 | AVG R =0.4849 | mean_pen: 0.0002 |  
iteration 9700 | D LOSS = 1.3546 | G LOSS = 0.0113 | AVG R =0.4845 | mean_pen: 0.0003 |  
iteration 9750 | D LOSS = 1.3545 | G LOSS = 0.0079 | AVG R =0.4848 | mean_pen: 0.0002 |  
iteration 9800 | D LOSS = 1.3550 | G LOSS = 0.0083 | AVG R =0.4846 | mean_pen: 0.0002 |  
iteration 9850 | D LOSS = 1.3543 | G LOSS = 0.0100 | AVG R =0.4844 | mean_pen: 0.0002 |  
iteration 9900 | D LOSS = 1.3537 | G LOSS = 0.0098 | AVG R =0.4845 | mean_pen: 0.0003 |  
iteration 9950 | D LOSS = 1.3547 | G LOSS = 0.0084 | AVG R =0.4850 | mean_pen: 0.0002 |  
iteration 10000 | D LOSS = 1.3545 | G LOSS = 0.0089 | AVG R =0.4849 | mean_pen: 0.0003 |  
iteration 10050 | D LOSS = 1.3553 | G LOSS = 0.0096 | AVG R =0.4840 | mean_pen: 0.0003 |  
iteration 10100 | D LOSS = 1.3550 | G LOSS = 0.0106 | AVG R =0.4844 | mean_pen: 0.0003 |  
iteration 10150 | D LOSS = 1.3547 | G LOSS = 0.0097 | AVG R =0.4843 | mean_pen: 0.0003 |  
iteration 10200 | D LOSS = 1.3551 | G LOSS = 0.0098 | AVG R =0.4846 | mean_pen: 0.0003 |  
iteration 10250 | D LOSS = 1.3555 | G LOSS = 0.0115 | AVG R =0.4839 | mean_pen: 0.0003 |  
iteration 10300 | D LOSS = 1.3550 | G LOSS = 0.0106 | AVG R =0.4842 | mean_pen: 0.0003 |  
iteration 10350 | D LOSS = 1.3548 | G LOSS = 0.0107 | AVG R =0.4838 | mean_pen: 0.0003 |  
iteration 10400 | D LOSS = 1.3556 | G LOSS = 0.0115 | AVG R =0.4834 | mean_pen: 0.0003 |  
iteration 10450 | D LOSS = 1.3551 | G LOSS = 0.0084 | AVG R =0.4843 | mean_pen: 0.0003 |  
iteration 10500 | D LOSS = 1.3537 | G LOSS = 0.0086 | AVG R =0.4843 | mean_pen: 0.0003 |  
iteration 10550 | D LOSS = 1.3552 | G LOSS = 0.0072 | AVG R =0.4839 | mean_pen: 0.0003 |  
iteration 10600 | D LOSS = 1.3550 | G LOSS = 0.0093 | AVG R =0.4838 | mean_pen: 0.0003 |  
iteration 10650 | D LOSS = 1.3547 | G LOSS = 0.0090 | AVG R =0.4838 | mean_pen: 0.0003 |  
iteration 10700 | D LOSS = 1.3539 | G LOSS = 0.0090 | AVG R =0.4842 | mean_pen: 0.0003 |  
iteration 10750 | D LOSS = 1.3541 | G LOSS = 0.0100 | AVG R =0.4840 | mean_pen: 0.0003 |  
iteration 10800 | D LOSS = 1.3547 | G LOSS = 0.0101 | AVG R =0.4840 | mean_pen: 0.0003 |  
iteration 10850 | D LOSS = 1.3547 | G LOSS = 0.0109 | AVG R =0.4838 | mean_pen: 0.0003 |  
iteration 10900 | D LOSS = 1.3554 | G LOSS = 0.0108 | AVG R =0.4838 | mean_pen: 0.0003 |  
iteration 10950 | D LOSS = 1.3547 | G LOSS = 0.0105 | AVG R =0.4846 | mean_pen: 0.0003 |  
iteration 11000 | D LOSS = 1.3546 | G LOSS = 0.0092 | AVG R =0.4846 | mean_pen: 0.0003 |  
iteration 11050 | D LOSS = 1.3546 | G LOSS = 0.0110 | AVG R =0.4842 | mean_pen: 0.0003 |  
iteration 11100 | D LOSS = 1.3528 | G LOSS = 0.0110 | AVG R =0.4840 | mean_pen: 0.0003 |  
iteration 11150 | D LOSS = 1.3536 | G LOSS = 0.0105 | AVG R =0.4834 | mean_pen: 0.0003 |  
