α=85.00%, θ*=2.35, TPR=0.8398, FPR=0.8299, PPV=0.5030, Advantage=0.0099
α=86.00%, θ*=2.35, TPR=0.8398, FPR=0.8299, PPV=0.5030, Advantage=0.0099
α=87.00%, θ*=2.35, TPR=0.8398, FPR=0.8299, PPV=0.5030, Advantage=0.0099
α=88.00%, θ*=2.45, TPR=0.8844, FPR=0.8759, PPV=0.5024, Advantage=0.0086
α=89.00%, θ*=2.50, TPR=0.8971, FPR=0.8874, PPV=0.5027, Advantage=0.0098
α=90.00%, θ*=2.60, TPR=0.9383, FPR=0.8943, PPV=0.5120, Advantage=0.0441
α=91.00%, θ*=2.65, TPR=0.9490, FPR=0.9057, PPV=0.5117, Advantage=0.0433
α=92.00%, θ*=2.70, TPR=0.9586, FPR=0.9103, PPV=0.5129, Advantage=0.0482
α=93.00%, θ*=2.70, TPR=0.9586, FPR=0.9103, PPV=0.5129, Advantage=0.0482
α=94.00%, θ*=2.75, TPR=0.9656, FPR=0.9333, PPV=0.5085, Advantage=0.0323
α=95.00%, θ*=2.75, TPR=0.9656, FPR=0.9333, PPV=0.5085, Advantage=0.0323
α=96.00%, θ*=2.80, TPR=0.9678, FPR=0.9563, PPV=0.5030, Advantage=0.0115
α=97.00%, θ*=2.85, TPR=0.9707, FPR=0.9632, PPV=0.5019, Advantage=0.0075
α=98.00%, θ*=2.90, TPR=0.9793, FPR=0.9701, PPV=0.5024, Advantage=0.0092
α=99.00%, θ*=2.95, TPR=0.9851, FPR=0.9816, PPV=0.5009, Advantage=0.0035
α=100.00%, θ*=4.70, TPR=1.0000, FPR=1.0000, PPV=0.5000, Advantage=0.0000
