Logging
iteration 8150 | D LOSS = 1.2045 | G LOSS = -529576816017408.0000 | AVG R =0.4059 |  
iteration 8200 | D LOSS = 1.1936 | G LOSS = -515829129019392.0000 | AVG R =0.4070 |  
iteration 8250 | D LOSS = 1.1959 | G LOSS = -682646128558080.0000 | AVG R =0.4066 |  
iteration 8300 | D LOSS = 1.1897 | G LOSS = -778489934381056.0000 | AVG R =0.4056 |  
iteration 8350 | D LOSS = 1.1892 | G LOSS = -796917692891136.0000 | AVG R =0.4050 |  
iteration 8400 | D LOSS = 1.1939 | G LOSS = -860596220198912.0000 | AVG R =0.4055 |  
iteration 8450 | D LOSS = 1.1989 | G LOSS = -519722986635264.0000 | AVG R =0.4051 |  
iteration 8500 | D LOSS = 1.2084 | G LOSS = -330528033079296.0000 | AVG R =0.4126 |  
iteration 8550 | D LOSS = 1.2047 | G LOSS = -259147035574272.0000 | AVG R =0.4112 |  
iteration 8600 | D LOSS = 1.2010 | G LOSS = -1442312831893504.0000 | AVG R =0.4097 |  
iteration 8650 | D LOSS = 1.1951 | G LOSS = -1970396106588160.0000 | AVG R =0.4069 |  
iteration 8700 | D LOSS = 1.2000 | G LOSS = -1937592085905408.0000 | AVG R =0.4084 |  
iteration 8750 | D LOSS = 1.1934 | G LOSS = -1844616244494336.0000 | AVG R =0.4025 |  
iteration 8800 | D LOSS = 1.1978 | G LOSS = -1906240032604160.0000 | AVG R =0.4012 |  
iteration 8850 | D LOSS = 1.1982 | G LOSS = -2824460151291904.0000 | AVG R =0.4038 |  
iteration 8900 | D LOSS = 1.1982 | G LOSS = -2785149657808896.0000 | AVG R =0.4083 |  
iteration 8950 | D LOSS = 1.2047 | G LOSS = -620915368919040.0000 | AVG R =0.4110 |  
iteration 9000 | D LOSS = 1.1983 | G LOSS = -3683072700579840.0000 | AVG R =0.4103 |  
iteration 9050 | D LOSS = 1.2017 | G LOSS = -4185616086466560.0000 | AVG R =0.4100 |  
iteration 9100 | D LOSS = 1.1958 | G LOSS = -4799939485892608.0000 | AVG R =0.4059 |  
iteration 9150 | D LOSS = 1.1911 | G LOSS = -5200249228361728.0000 | AVG R =0.4041 |  
iteration 9200 | D LOSS = 1.1853 | G LOSS = -6102669101891584.0000 | AVG R =0.4001 |  
iteration 9250 | D LOSS = 1.1840 | G LOSS = -5960738149498880.0000 | AVG R =0.3999 |  
iteration 9300 | D LOSS = 1.1830 | G LOSS = -6524288861470720.0000 | AVG R =0.3994 |  
iteration 9350 | D LOSS = 1.1841 | G LOSS = -8913622117908480.0000 | AVG R =0.4006 |  
iteration 9400 | D LOSS = 1.1824 | G LOSS = -8919884717096960.0000 | AVG R =0.4002 |  
iteration 9450 | D LOSS = 1.1873 | G LOSS = -9880556158320640.0000 | AVG R =0.4047 |  
iteration 9500 | D LOSS = 1.1926 | G LOSS = -11154598077136896.0000 | AVG R =0.4070 |  
iteration 9550 | D LOSS = 1.1876 | G LOSS = -15280673300414464.0000 | AVG R =0.4035 |  
