Logging
iteration 6150 | D LOSS = 1.3586 | G LOSS = -0.7395 | AVG R =0.4866 |  
iteration 6200 | D LOSS = 1.3585 | G LOSS = -0.5760 | AVG R =0.4866 |  
iteration 6250 | D LOSS = 1.3597 | G LOSS = -0.3158 | AVG R =0.4857 |  
iteration 6300 | D LOSS = 1.3588 | G LOSS = 0.1628 | AVG R =0.4860 |  
iteration 6350 | D LOSS = 1.3591 | G LOSS = -0.3520 | AVG R =0.4864 |  
iteration 6400 | D LOSS = 1.3597 | G LOSS = 0.3881 | AVG R =0.4866 |  
iteration 6450 | D LOSS = 1.3608 | G LOSS = 0.5993 | AVG R =0.4865 |  
iteration 6500 | D LOSS = 1.3592 | G LOSS = -0.4058 | AVG R =0.4857 |  
iteration 6550 | D LOSS = 1.3597 | G LOSS = 0.9705 | AVG R =0.4864 |  
iteration 6600 | D LOSS = 1.3591 | G LOSS = -0.4206 | AVG R =0.4860 |  
iteration 6650 | D LOSS = 1.3596 | G LOSS = -0.5707 | AVG R =0.4863 |  
iteration 6700 | D LOSS = 1.3590 | G LOSS = -0.1609 | AVG R =0.4867 |  
iteration 6750 | D LOSS = 1.3591 | G LOSS = 1.0609 | AVG R =0.4871 |  
iteration 6800 | D LOSS = 1.3594 | G LOSS = -1.5666 | AVG R =0.4862 |  
iteration 6850 | D LOSS = 1.3597 | G LOSS = -0.4664 | AVG R =0.4869 |  
iteration 6900 | D LOSS = 1.3591 | G LOSS = -0.0247 | AVG R =0.4866 |  
iteration 6950 | D LOSS = 1.3598 | G LOSS = -0.6487 | AVG R =0.4869 |  
iteration 7000 | D LOSS = 1.3601 | G LOSS = 1.1903 | AVG R =0.4869 |  
iteration 7050 | D LOSS = 1.3591 | G LOSS = -0.5216 | AVG R =0.4864 |  
iteration 7100 | D LOSS = 1.3593 | G LOSS = -0.8579 | AVG R =0.4868 |  
iteration 7150 | D LOSS = 1.3597 | G LOSS = 0.3692 | AVG R =0.4864 |  
iteration 7200 | D LOSS = 1.3605 | G LOSS = -1.1544 | AVG R =0.4872 |  
iteration 7250 | D LOSS = 1.3602 | G LOSS = 0.1090 | AVG R =0.4866 |  
iteration 7300 | D LOSS = 1.3597 | G LOSS = -0.3040 | AVG R =0.4870 |  
iteration 7350 | D LOSS = 1.3599 | G LOSS = 0.8461 | AVG R =0.4869 |  
iteration 7400 | D LOSS = 1.3597 | G LOSS = -0.2171 | AVG R =0.4862 |  
iteration 7450 | D LOSS = 1.3601 | G LOSS = -0.1261 | AVG R =0.4872 |  
iteration 7500 | D LOSS = 1.3605 | G LOSS = 0.2750 | AVG R =0.4877 |  
iteration 7550 | D LOSS = 1.3594 | G LOSS = -0.7905 | AVG R =0.4869 |  
iteration 7600 | D LOSS = 1.3600 | G LOSS = 0.7088 | AVG R =0.4868 |  
iteration 7650 | D LOSS = 1.3604 | G LOSS = 0.0113 | AVG R =0.4873 |  
iteration 7700 | D LOSS = 1.3590 | G LOSS = 0.2743 | AVG R =0.4875 |  
iteration 7750 | D LOSS = 1.3606 | G LOSS = 0.8828 | AVG R =0.4878 |  
iteration 7800 | D LOSS = 1.3603 | G LOSS = -1.6332 | AVG R =0.4876 |  
iteration 7850 | D LOSS = 1.3608 | G LOSS = 0.6794 | AVG R =0.4873 |  
iteration 7900 | D LOSS = 1.3606 | G LOSS = 0.6893 | AVG R =0.4872 |  
iteration 7950 | D LOSS = 1.3614 | G LOSS = 0.0356 | AVG R =0.4874 |  
iteration 8000 | D LOSS = 1.3613 | G LOSS = 1.5489 | AVG R =0.4875 |  
iteration 8050 | D LOSS = 1.3596 | G LOSS = -0.4430 | AVG R =0.4875 |  
iteration 8100 | D LOSS = 1.3610 | G LOSS = -2.0888 | AVG R =0.4870 |  
iteration 8150 | D LOSS = 1.3616 | G LOSS = -0.1356 | AVG R =0.4871 |  
iteration 8200 | D LOSS = 1.3611 | G LOSS = -1.9440 | AVG R =0.4872 |  
iteration 8250 | D LOSS = 1.3610 | G LOSS = -0.5268 | AVG R =0.4868 |  
iteration 8300 | D LOSS = 1.3608 | G LOSS = 1.4913 | AVG R =0.4869 |  
iteration 8350 | D LOSS = 1.3601 | G LOSS = -0.5930 | AVG R =0.4875 |  
iteration 8400 | D LOSS = 1.3611 | G LOSS = -0.8395 | AVG R =0.4872 |  
iteration 8450 | D LOSS = 1.3604 | G LOSS = -1.0830 | AVG R =0.4868 |  
iteration 8500 | D LOSS = 1.3608 | G LOSS = -1.5220 | AVG R =0.4877 |  
iteration 8550 | D LOSS = 1.3610 | G LOSS = -0.9505 | AVG R =0.4870 |  
iteration 8600 | D LOSS = 1.3601 | G LOSS = -1.5144 | AVG R =0.4868 |  
iteration 8650 | D LOSS = 1.3599 | G LOSS = -1.5676 | AVG R =0.4869 |  
iteration 8700 | D LOSS = 1.3595 | G LOSS = -0.6787 | AVG R =0.4871 |  
iteration 8750 | D LOSS = 1.3606 | G LOSS = -1.1171 | AVG R =0.4868 |  
iteration 8800 | D LOSS = 1.3592 | G LOSS = 1.0111 | AVG R =0.4868 |  
iteration 8850 | D LOSS = 1.3600 | G LOSS = -1.0157 | AVG R =0.4873 |  
