α=84.00%, θ*=4.55, TPR=0.8251, FPR=0.8059, PPV=0.5059, Advantage=0.0191
α=85.00%, θ*=4.60, TPR=0.8646, FPR=0.8493, PPV=0.5045, Advantage=0.0153
α=86.00%, θ*=4.60, TPR=0.8646, FPR=0.8493, PPV=0.5045, Advantage=0.0153
α=87.00%, θ*=4.60, TPR=0.8646, FPR=0.8493, PPV=0.5045, Advantage=0.0153
α=88.00%, θ*=4.60, TPR=0.8646, FPR=0.8493, PPV=0.5045, Advantage=0.0153
α=89.00%, θ*=4.65, TPR=0.8931, FPR=0.8813, PPV=0.5033, Advantage=0.0119
α=90.00%, θ*=4.65, TPR=0.8931, FPR=0.8813, PPV=0.5033, Advantage=0.0119
α=91.00%, θ*=4.70, TPR=0.9188, FPR=0.9041, PPV=0.5040, Advantage=0.0147
α=92.00%, θ*=4.70, TPR=0.9188, FPR=0.9041, PPV=0.5040, Advantage=0.0147
α=93.00%, θ*=4.70, TPR=0.9188, FPR=0.9041, PPV=0.5040, Advantage=0.0147
α=94.00%, θ*=4.70, TPR=0.9188, FPR=0.9041, PPV=0.5040, Advantage=0.0147
α=95.00%, θ*=4.70, TPR=0.9188, FPR=0.9041, PPV=0.5040, Advantage=0.0147
α=96.00%, θ*=4.70, TPR=0.9188, FPR=0.9041, PPV=0.5040, Advantage=0.0147
α=97.00%, θ*=4.70, TPR=0.9188, FPR=0.9041, PPV=0.5040, Advantage=0.0147
α=98.00%, θ*=4.70, TPR=0.9188, FPR=0.9041, PPV=0.5040, Advantage=0.0147
α=99.00%, θ*=4.70, TPR=0.9188, FPR=0.9041, PPV=0.5040, Advantage=0.0147
α=100.00%, θ*=4.70, TPR=0.9188, FPR=0.9041, PPV=0.5040, Advantage=0.0147
