Logging
iteration 8750 | D LOSS = 1.3774 | G LOSS = 0.0171 | AVG R =0.4951 | mean_pen: 0.0000 |  
iteration 8800 | D LOSS = 1.3764 | G LOSS = 0.0285 | AVG R =0.4953 | mean_pen: 0.0000 |  
iteration 8850 | D LOSS = 1.3765 | G LOSS = 0.0020 | AVG R =0.4955 | mean_pen: 0.0000 |  
iteration 8900 | D LOSS = 1.3779 | G LOSS = 0.0161 | AVG R =0.4956 | mean_pen: 0.0000 |  
iteration 8950 | D LOSS = 1.3775 | G LOSS = 0.0314 | AVG R =0.4951 | mean_pen: 0.0000 |  
iteration 9000 | D LOSS = 1.3773 | G LOSS = 0.0180 | AVG R =0.4958 | mean_pen: 0.0000 |  
iteration 9050 | D LOSS = 1.3772 | G LOSS = 0.0134 | AVG R =0.4947 | mean_pen: 0.0000 |  
iteration 9100 | D LOSS = 1.3778 | G LOSS = 0.0321 | AVG R =0.4960 | mean_pen: 0.0000 |  
iteration 9150 | D LOSS = 1.3769 | G LOSS = 0.0072 | AVG R =0.4955 | mean_pen: 0.0000 |  
iteration 9200 | D LOSS = 1.3767 | G LOSS = 0.0169 | AVG R =0.4951 | mean_pen: 0.0000 |  
iteration 9250 | D LOSS = 1.3754 | G LOSS = 0.0095 | AVG R =0.4953 | mean_pen: 0.0000 |  
iteration 9300 | D LOSS = 1.3768 | G LOSS = 0.0321 | AVG R =0.4950 | mean_pen: 0.0000 |  
iteration 9350 | D LOSS = 1.3777 | G LOSS = 0.0083 | AVG R =0.4953 | mean_pen: 0.0000 |  
iteration 9400 | D LOSS = 1.3755 | G LOSS = 0.0066 | AVG R =0.4950 | mean_pen: 0.0000 |  
iteration 9450 | D LOSS = 1.3763 | G LOSS = 0.0321 | AVG R =0.4948 | mean_pen: 0.0000 |  
iteration 9500 | D LOSS = 1.3768 | G LOSS = 0.0076 | AVG R =0.4952 | mean_pen: 0.0000 |  
iteration 9550 | D LOSS = 1.3759 | G LOSS = 0.0083 | AVG R =0.4953 | mean_pen: 0.0000 |  
iteration 9600 | D LOSS = 1.3756 | G LOSS = 0.0366 | AVG R =0.4955 | mean_pen: 0.0000 |  
iteration 9650 | D LOSS = 1.3763 | G LOSS = 0.0384 | AVG R =0.4946 | mean_pen: 0.0000 |  
iteration 9700 | D LOSS = 1.3778 | G LOSS = 0.0382 | AVG R =0.4951 | mean_pen: 0.0000 |  
iteration 9750 | D LOSS = 1.3775 | G LOSS = 0.0165 | AVG R =0.4954 | mean_pen: 0.0000 |  
iteration 9800 | D LOSS = 1.3785 | G LOSS = 0.0161 | AVG R =0.4947 | mean_pen: 0.0000 |  
iteration 9850 | D LOSS = 1.3759 | G LOSS = 0.0155 | AVG R =0.4957 | mean_pen: 0.0000 |  
iteration 9900 | D LOSS = 1.3774 | G LOSS = 0.0450 | AVG R =0.4955 | mean_pen: 0.0000 |  
iteration 9950 | D LOSS = 1.3756 | G LOSS = 0.0205 | AVG R =0.4950 | mean_pen: 0.0000 |  
iteration 10000 | D LOSS = 1.3764 | G LOSS = 0.0183 | AVG R =0.4947 | mean_pen: 0.0000 |  
iteration 10050 | D LOSS = 1.3763 | G LOSS = 0.0214 | AVG R =0.4959 | mean_pen: 0.0000 |  
iteration 10100 | D LOSS = 1.3761 | G LOSS = 0.0385 | AVG R =0.4954 | mean_pen: 0.0000 |  
iteration 10150 | D LOSS = 1.3758 | G LOSS = 0.0240 | AVG R =0.4956 | mean_pen: 0.0000 |  
iteration 10200 | D LOSS = 1.3769 | G LOSS = 0.0185 | AVG R =0.4952 | mean_pen: 0.0000 |  
iteration 10250 | D LOSS = 1.3761 | G LOSS = 0.0212 | AVG R =0.4950 | mean_pen: 0.0000 |  
iteration 10300 | D LOSS = 1.3769 | G LOSS = 0.0238 | AVG R =0.4956 | mean_pen: 0.0000 |  
iteration 10350 | D LOSS = 1.3754 | G LOSS = 0.0196 | AVG R =0.4944 | mean_pen: 0.0000 |  
iteration 10400 | D LOSS = 1.3772 | G LOSS = 0.0268 | AVG R =0.4955 | mean_pen: 0.0000 |  
iteration 10450 | D LOSS = 1.3764 | G LOSS = 0.0155 | AVG R =0.4953 | mean_pen: 0.0000 |  
iteration 10500 | D LOSS = 1.3759 | G LOSS = 0.0351 | AVG R =0.4951 | mean_pen: 0.0000 |  
iteration 10550 | D LOSS = 1.3760 | G LOSS = 0.0543 | AVG R =0.4952 | mean_pen: 0.0000 |  
iteration 10600 | D LOSS = 1.3750 | G LOSS = 0.0274 | AVG R =0.4947 | mean_pen: 0.0000 |  
iteration 10650 | D LOSS = 1.3773 | G LOSS = 0.0241 | AVG R =0.4948 | mean_pen: 0.0000 |  
