Logging
ITERATION 176.0000 | TOTAL G LOSS -1.1912
ITERATION 177.0000 | TOTAL G LOSS 0.7420
ITERATION 178.0000 | TOTAL G LOSS -5.8915
ITERATION 179.0000 | TOTAL G LOSS -2.3421
ITERATION 180.0000 | TOTAL G LOSS -2.6775
ITERATION 181.0000 | TOTAL G LOSS -0.6316
ITERATION 182.0000 | TOTAL G LOSS -2.5534
ITERATION 183.0000 | TOTAL G LOSS 0.4320
ITERATION 184.0000 | TOTAL G LOSS -3.4030
ITERATION 185.0000 | TOTAL G LOSS -2.5308
ITERATION 186.0000 | TOTAL G LOSS -2.6192
ITERATION 187.0000 | TOTAL G LOSS -1.2092
ITERATION 188.0000 | TOTAL G LOSS -2.3088
ITERATION 189.0000 | TOTAL G LOSS -1.5000
ITERATION 190.0000 | TOTAL G LOSS -1.6486
ITERATION 191.0000 | TOTAL G LOSS -6.2358
ITERATION 192.0000 | TOTAL G LOSS -3.0615
ITERATION 193.0000 | TOTAL G LOSS -4.7774
ITERATION 194.0000 | TOTAL G LOSS -2.7391
ITERATION 195.0000 | TOTAL G LOSS -4.3122
ITERATION 196.0000 | TOTAL G LOSS -3.1565
ITERATION 197.0000 | TOTAL G LOSS -2.8648
ITERATION 198.0000 | TOTAL G LOSS -3.5203
ITERATION 199.0000 | TOTAL G LOSS -6.2262
ITERATION 200.0000 | TOTAL G LOSS -5.6266
ITERATION 201.0000 | TOTAL G LOSS -6.2974
ITERATION 202.0000 | TOTAL G LOSS -4.4586
ITERATION 203.0000 | TOTAL G LOSS -4.6032
ITERATION 204.0000 | TOTAL G LOSS -5.3651
ITERATION 205.0000 | TOTAL G LOSS -5.7103
ITERATION 206.0000 | TOTAL G LOSS -2.9839
ITERATION 207.0000 | TOTAL G LOSS -4.9730
ITERATION 208.0000 | TOTAL G LOSS -9.9781
ITERATION 209.0000 | TOTAL G LOSS -3.7621
ITERATION 210.0000 | TOTAL G LOSS -3.6842
ITERATION 211.0000 | TOTAL G LOSS -7.0840
ITERATION 212.0000 | TOTAL G LOSS -1.7091
ITERATION 213.0000 | TOTAL G LOSS -3.0203
ITERATION 214.0000 | TOTAL G LOSS -5.6781
ITERATION 215.0000 | TOTAL G LOSS -4.9469
ITERATION 216.0000 | TOTAL G LOSS -3.8566
ITERATION 217.0000 | TOTAL G LOSS -5.8770
ITERATION 218.0000 | TOTAL G LOSS -5.2692
ITERATION 219.0000 | TOTAL G LOSS -3.3878
ITERATION 220.0000 | TOTAL G LOSS -3.4224
ITERATION 221.0000 | TOTAL G LOSS -1.8501
ITERATION 222.0000 | TOTAL G LOSS -3.3429
ITERATION 223.0000 | TOTAL G LOSS -2.8960
ITERATION 224.0000 | TOTAL G LOSS 0.6177
ITERATION 225.0000 | TOTAL G LOSS 0.0476
ITERATION 226.0000 | TOTAL G LOSS -3.2027
ITERATION 227.0000 | TOTAL G LOSS -1.9422
ITERATION 228.0000 | TOTAL G LOSS 1.5868
ITERATION 229.0000 | TOTAL G LOSS -0.4049
ITERATION 230.0000 | TOTAL G LOSS -2.9338
ITERATION 231.0000 | TOTAL G LOSS 0.4318
ITERATION 232.0000 | TOTAL G LOSS -1.6938
ITERATION 233.0000 | TOTAL G LOSS 1.0442
ITERATION 234.0000 | TOTAL G LOSS 0.7811
ITERATION 235.0000 | TOTAL G LOSS -0.4181
ITERATION 236.0000 | TOTAL G LOSS -4.0463
ITERATION 237.0000 | TOTAL G LOSS -1.9840
ITERATION 238.0000 | TOTAL G LOSS 2.3529
ITERATION 239.0000 | TOTAL G LOSS -0.0429
ITERATION 240.0000 | TOTAL G LOSS 0.6430
ITERATION 241.0000 | TOTAL G LOSS 6.1952
ITERATION 242.0000 | TOTAL G LOSS 1.9628
ITERATION 243.0000 | TOTAL G LOSS 1.3379
ITERATION 244.0000 | TOTAL G LOSS 3.9628
ITERATION 245.0000 | TOTAL G LOSS 4.3737
ITERATION 246.0000 | TOTAL G LOSS 2.5661
ITERATION 247.0000 | TOTAL G LOSS 4.5708
ITERATION 248.0000 | TOTAL G LOSS 7.4375
ITERATION 249.0000 | TOTAL G LOSS 1.7543
ITERATION 250.0000 | TOTAL G LOSS 1.1413
ITERATION 251.0000 | TOTAL G LOSS 2.7474
ITERATION 252.0000 | TOTAL G LOSS 3.2644
ITERATION 253.0000 | TOTAL G LOSS 3.2448
ITERATION 254.0000 | TOTAL G LOSS 4.0827
ITERATION 255.0000 | TOTAL G LOSS 2.7021
ITERATION 256.0000 | TOTAL G LOSS 3.9766
ITERATION 257.0000 | TOTAL G LOSS -0.9201
ITERATION 258.0000 | TOTAL G LOSS 0.7600
ITERATION 259.0000 | TOTAL G LOSS 1.5516
ITERATION 260.0000 | TOTAL G LOSS 4.6271
ITERATION 261.0000 | TOTAL G LOSS 1.5298
ITERATION 262.0000 | TOTAL G LOSS 1.6810
ITERATION 263.0000 | TOTAL G LOSS 3.4589
ITERATION 264.0000 | TOTAL G LOSS 2.6514
ITERATION 265.0000 | TOTAL G LOSS 2.4142
ITERATION 266.0000 | TOTAL G LOSS 5.7241
ITERATION 267.0000 | TOTAL G LOSS 2.2144
ITERATION 268.0000 | TOTAL G LOSS 2.1905
ITERATION 269.0000 | TOTAL G LOSS 2.5477
ITERATION 270.0000 | TOTAL G LOSS 0.5534
ITERATION 271.0000 | TOTAL G LOSS 2.6997
ITERATION 272.0000 | TOTAL G LOSS 4.1327
ITERATION 273.0000 | TOTAL G LOSS 5.6043
ITERATION 274.0000 | TOTAL G LOSS 2.1048
ITERATION 275.0000 | TOTAL G LOSS 2.1170
ITERATION 276.0000 | TOTAL G LOSS 6.0307
ITERATION 277.0000 | TOTAL G LOSS 5.3663
ITERATION 278.0000 | TOTAL G LOSS 3.6099
ITERATION 279.0000 | TOTAL G LOSS 5.9003
ITERATION 280.0000 | TOTAL G LOSS 3.1550
ITERATION 281.0000 | TOTAL G LOSS 5.0620
ITERATION 282.0000 | TOTAL G LOSS 5.4528
ITERATION 283.0000 | TOTAL G LOSS 3.6731
ITERATION 284.0000 | TOTAL G LOSS 7.7958
ITERATION 285.0000 | TOTAL G LOSS 4.3405
ITERATION 286.0000 | TOTAL G LOSS 4.4488
ITERATION 287.0000 | TOTAL G LOSS 5.0904
ITERATION 288.0000 | TOTAL G LOSS 6.6924
ITERATION 289.0000 | TOTAL G LOSS 4.4290
ITERATION 290.0000 | TOTAL G LOSS 7.0468
ITERATION 291.0000 | TOTAL G LOSS 6.3797
ITERATION 292.0000 | TOTAL G LOSS 7.1970
ITERATION 293.0000 | TOTAL G LOSS 8.5565
ITERATION 294.0000 | TOTAL G LOSS 7.2363
ITERATION 295.0000 | TOTAL G LOSS 5.6022
ITERATION 296.0000 | TOTAL G LOSS 5.6154
ITERATION 297.0000 | TOTAL G LOSS 5.3172
ITERATION 298.0000 | TOTAL G LOSS 6.1627
ITERATION 299.0000 | TOTAL G LOSS 3.5330
ITERATION 300.0000 | TOTAL G LOSS 6.8315
ITERATION 301.0000 | TOTAL G LOSS 5.9295
ITERATION 302.0000 | TOTAL G LOSS 3.2163
ITERATION 303.0000 | TOTAL G LOSS 5.0964
ITERATION 304.0000 | TOTAL G LOSS 3.1318
ITERATION 305.0000 | TOTAL G LOSS 3.3723
ITERATION 306.0000 | TOTAL G LOSS 5.5141
ITERATION 307.0000 | TOTAL G LOSS 4.2745
ITERATION 308.0000 | TOTAL G LOSS 3.2565
ITERATION 309.0000 | TOTAL G LOSS 3.9473
ITERATION 310.0000 | TOTAL G LOSS 3.9548
ITERATION 311.0000 | TOTAL G LOSS 4.8756
ITERATION 312.0000 | TOTAL G LOSS 1.0951
ITERATION 313.0000 | TOTAL G LOSS 1.6944
ITERATION 314.0000 | TOTAL G LOSS 4.3164
ITERATION 315.0000 | TOTAL G LOSS 5.5924
ITERATION 316.0000 | TOTAL G LOSS 5.0675
ITERATION 317.0000 | TOTAL G LOSS 2.7847
ITERATION 318.0000 | TOTAL G LOSS 1.9784
ITERATION 319.0000 | TOTAL G LOSS 4.0466
ITERATION 320.0000 | TOTAL G LOSS 3.9969
ITERATION 321.0000 | TOTAL G LOSS 2.0586
ITERATION 322.0000 | TOTAL G LOSS 3.2420
ITERATION 323.0000 | TOTAL G LOSS 2.9300
ITERATION 324.0000 | TOTAL G LOSS 3.1694
ITERATION 325.0000 | TOTAL G LOSS 0.4509
ITERATION 326.0000 | TOTAL G LOSS 2.4896
ITERATION 327.0000 | TOTAL G LOSS 2.1382
ITERATION 328.0000 | TOTAL G LOSS 1.9295
ITERATION 329.0000 | TOTAL G LOSS 3.5662
ITERATION 330.0000 | TOTAL G LOSS 0.1451
ITERATION 331.0000 | TOTAL G LOSS 5.4430
