Logging
iteration 4950 | D LOSS = 1.3714 | G LOSS = -0.0445 | AVG R =0.4927 | mean_pen: 0.0001 |  
iteration 5000 | D LOSS = 1.3726 | G LOSS = -0.0341 | AVG R =0.4929 | mean_pen: 0.0001 |  
iteration 5050 | D LOSS = 1.3722 | G LOSS = -0.0471 | AVG R =0.4922 | mean_pen: 0.0001 |  
iteration 5100 | D LOSS = 1.3723 | G LOSS = -0.0475 | AVG R =0.4928 | mean_pen: 0.0001 |  
iteration 5150 | D LOSS = 1.3725 | G LOSS = -0.0440 | AVG R =0.4930 | mean_pen: 0.0001 |  
iteration 5200 | D LOSS = 1.3742 | G LOSS = -0.0384 | AVG R =0.4926 | mean_pen: 0.0001 |  
iteration 5250 | D LOSS = 1.3735 | G LOSS = -0.0450 | AVG R =0.4941 | mean_pen: 0.0001 |  
iteration 5300 | D LOSS = 1.3729 | G LOSS = -0.0383 | AVG R =0.4936 | mean_pen: 0.0001 |  
iteration 5350 | D LOSS = 1.3736 | G LOSS = -0.0434 | AVG R =0.4937 | mean_pen: 0.0001 |  
iteration 5400 | D LOSS = 1.3732 | G LOSS = -0.0441 | AVG R =0.4938 | mean_pen: 0.0001 |  
iteration 5450 | D LOSS = 1.3747 | G LOSS = -0.0305 | AVG R =0.4940 | mean_pen: 0.0001 |  
iteration 5500 | D LOSS = 1.3751 | G LOSS = -0.0348 | AVG R =0.4940 | mean_pen: 0.0001 |  
iteration 5550 | D LOSS = 1.3748 | G LOSS = -0.0399 | AVG R =0.4950 | mean_pen: 0.0001 |  
iteration 5600 | D LOSS = 1.3743 | G LOSS = -0.0422 | AVG R =0.4943 | mean_pen: 0.0001 |  
iteration 5650 | D LOSS = 1.3757 | G LOSS = -0.0458 | AVG R =0.4943 | mean_pen: 0.0001 |  
iteration 5700 | D LOSS = 1.3744 | G LOSS = -0.0533 | AVG R =0.4938 | mean_pen: 0.0001 |  
iteration 5750 | D LOSS = 1.3743 | G LOSS = -0.0447 | AVG R =0.4950 | mean_pen: 0.0001 |  
iteration 5800 | D LOSS = 1.3750 | G LOSS = -0.0537 | AVG R =0.4950 | mean_pen: 0.0001 |  
iteration 5850 | D LOSS = 1.3753 | G LOSS = -0.0433 | AVG R =0.4943 | mean_pen: 0.0001 |  
iteration 5900 | D LOSS = 1.3761 | G LOSS = -0.0401 | AVG R =0.4951 | mean_pen: 0.0001 |  
iteration 5950 | D LOSS = 1.3749 | G LOSS = -0.0328 | AVG R =0.4948 | mean_pen: 0.0001 |  
iteration 6000 | D LOSS = 1.3762 | G LOSS = -0.0462 | AVG R =0.4940 | mean_pen: 0.0001 |  
iteration 6050 | D LOSS = 1.3758 | G LOSS = -0.0394 | AVG R =0.4947 | mean_pen: 0.0001 |  
iteration 6100 | D LOSS = 1.3759 | G LOSS = -0.0480 | AVG R =0.4943 | mean_pen: 0.0001 |  
iteration 6150 | D LOSS = 1.3752 | G LOSS = -0.0397 | AVG R =0.4943 | mean_pen: 0.0000 |  
iteration 6200 | D LOSS = 1.3761 | G LOSS = -0.0401 | AVG R =0.4945 | mean_pen: 0.0001 |  
iteration 6250 | D LOSS = 1.3750 | G LOSS = -0.0424 | AVG R =0.4953 | mean_pen: 0.0001 |  
iteration 6300 | D LOSS = 1.3750 | G LOSS = -0.0381 | AVG R =0.4956 | mean_pen: 0.0001 |  
iteration 6350 | D LOSS = 1.3765 | G LOSS = -0.0542 | AVG R =0.4947 | mean_pen: 0.0001 |  
iteration 6400 | D LOSS = 1.3764 | G LOSS = -0.0398 | AVG R =0.4949 | mean_pen: 0.0001 |  
iteration 6450 | D LOSS = 1.3754 | G LOSS = -0.0503 | AVG R =0.4950 | mean_pen: 0.0001 |  
iteration 6500 | D LOSS = 1.3759 | G LOSS = -0.0345 | AVG R =0.4958 | mean_pen: 0.0001 |  
iteration 6550 | D LOSS = 1.3763 | G LOSS = -0.0432 | AVG R =0.4960 | mean_pen: 0.0001 |  
iteration 6600 | D LOSS = 1.3757 | G LOSS = -0.0211 | AVG R =0.4954 | mean_pen: 0.0000 |  
iteration 6650 | D LOSS = 1.3765 | G LOSS = -0.0518 | AVG R =0.4958 | mean_pen: 0.0000 |  
iteration 6700 | D LOSS = 1.3775 | G LOSS = -0.0448 | AVG R =0.4950 | mean_pen: 0.0000 |  
iteration 6750 | D LOSS = 1.3759 | G LOSS = -0.0504 | AVG R =0.4959 | mean_pen: 0.0001 |  
iteration 6800 | D LOSS = 1.3782 | G LOSS = -0.0376 | AVG R =0.4954 | mean_pen: 0.0000 |  
iteration 6850 | D LOSS = 1.3780 | G LOSS = -0.0553 | AVG R =0.4959 | mean_pen: 0.0000 |  
iteration 6900 | D LOSS = 1.3764 | G LOSS = -0.0397 | AVG R =0.4950 | mean_pen: 0.0000 |  
iteration 6950 | D LOSS = 1.3761 | G LOSS = -0.0390 | AVG R =0.4953 | mean_pen: 0.0001 |  
iteration 7000 | D LOSS = 1.3771 | G LOSS = -0.0357 | AVG R =0.4954 | mean_pen: 0.0000 |  
iteration 7050 | D LOSS = 1.3759 | G LOSS = -0.0486 | AVG R =0.4954 | mean_pen: 0.0001 |  
iteration 7100 | D LOSS = 1.3780 | G LOSS = -0.0510 | AVG R =0.4956 | mean_pen: 0.0000 |  
iteration 7150 | D LOSS = 1.3779 | G LOSS = -0.0365 | AVG R =0.4957 | mean_pen: 0.0001 |  
iteration 7200 | D LOSS = 1.3755 | G LOSS = -0.0513 | AVG R =0.4947 | mean_pen: 0.0000 |  
iteration 7250 | D LOSS = 1.3765 | G LOSS = -0.0502 | AVG R =0.4953 | mean_pen: 0.0000 |  
iteration 7300 | D LOSS = 1.3765 | G LOSS = -0.0398 | AVG R =0.4961 | mean_pen: 0.0000 |  
iteration 7350 | D LOSS = 1.3780 | G LOSS = -0.0510 | AVG R =0.4957 | mean_pen: 0.0000 |  
iteration 7400 | D LOSS = 1.3778 | G LOSS = -0.0465 | AVG R =0.4958 | mean_pen: 0.0000 |  
iteration 7450 | D LOSS = 1.3781 | G LOSS = -0.0495 | AVG R =0.4957 | mean_pen: 0.0000 |  
iteration 7500 | D LOSS = 1.3774 | G LOSS = -0.0463 | AVG R =0.4962 | mean_pen: 0.0000 |  
iteration 7550 | D LOSS = 1.3785 | G LOSS = -0.0375 | AVG R =0.4962 | mean_pen: 0.0000 |  
iteration 7600 | D LOSS = 1.3778 | G LOSS = -0.0406 | AVG R =0.4957 | mean_pen: 0.0000 |  
iteration 7650 | D LOSS = 1.3777 | G LOSS = -0.0324 | AVG R =0.4957 | mean_pen: 0.0000 |  
