Logging
iteration 5900 | D LOSS = 1.3689 | G LOSS = -0.3609 | AVG R =0.4915 |  
iteration 5950 | D LOSS = 1.3683 | G LOSS = -2.9572 | AVG R =0.4909 |  
iteration 6000 | D LOSS = 1.3686 | G LOSS = -3.5956 | AVG R =0.4902 |  
iteration 6050 | D LOSS = 1.3703 | G LOSS = -2.6714 | AVG R =0.4918 |  
iteration 6100 | D LOSS = 1.3690 | G LOSS = -5.6579 | AVG R =0.4907 |  
iteration 6150 | D LOSS = 1.3678 | G LOSS = -3.3863 | AVG R =0.4913 |  
iteration 6200 | D LOSS = 1.3694 | G LOSS = -4.9743 | AVG R =0.4910 |  
iteration 6250 | D LOSS = 1.3680 | G LOSS = -2.9347 | AVG R =0.4910 |  
iteration 6300 | D LOSS = 1.3688 | G LOSS = 0.9813 | AVG R =0.4919 |  
iteration 6350 | D LOSS = 1.3672 | G LOSS = -2.4888 | AVG R =0.4918 |  
iteration 6400 | D LOSS = 1.3681 | G LOSS = -0.9197 | AVG R =0.4917 |  
iteration 6450 | D LOSS = 1.3698 | G LOSS = -0.7399 | AVG R =0.4923 |  
iteration 6500 | D LOSS = 1.3692 | G LOSS = -4.4008 | AVG R =0.4923 |  
iteration 6550 | D LOSS = 1.3688 | G LOSS = -4.2204 | AVG R =0.4922 |  
iteration 6600 | D LOSS = 1.3689 | G LOSS = -4.6702 | AVG R =0.4918 |  
iteration 6650 | D LOSS = 1.3698 | G LOSS = -2.9541 | AVG R =0.4924 |  
iteration 6700 | D LOSS = 1.3701 | G LOSS = -7.5323 | AVG R =0.4912 |  
iteration 6750 | D LOSS = 1.3694 | G LOSS = -3.3502 | AVG R =0.4920 |  
iteration 6800 | D LOSS = 1.3703 | G LOSS = -3.4190 | AVG R =0.4921 |  
iteration 6850 | D LOSS = 1.3694 | G LOSS = -4.5567 | AVG R =0.4919 |  
iteration 6900 | D LOSS = 1.3697 | G LOSS = -2.3700 | AVG R =0.4922 |  
iteration 6950 | D LOSS = 1.3694 | G LOSS = -3.8329 | AVG R =0.4914 |  
iteration 7000 | D LOSS = 1.3697 | G LOSS = -2.8842 | AVG R =0.4914 |  
iteration 7050 | D LOSS = 1.3709 | G LOSS = -3.0413 | AVG R =0.4918 |  
iteration 7100 | D LOSS = 1.3707 | G LOSS = -2.3763 | AVG R =0.4920 |  
iteration 7150 | D LOSS = 1.3703 | G LOSS = -0.6229 | AVG R =0.4920 |  
iteration 7200 | D LOSS = 1.3695 | G LOSS = -0.1851 | AVG R =0.4919 |  
iteration 7250 | D LOSS = 1.3713 | G LOSS = 3.9520 | AVG R =0.4921 |  
iteration 7300 | D LOSS = 1.3708 | G LOSS = 0.3001 | AVG R =0.4917 |  
iteration 7350 | D LOSS = 1.3716 | G LOSS = -2.6580 | AVG R =0.4916 |  
iteration 7400 | D LOSS = 1.3711 | G LOSS = -3.1880 | AVG R =0.4923 |  
iteration 7450 | D LOSS = 1.3698 | G LOSS = 0.6820 | AVG R =0.4922 |  
iteration 7500 | D LOSS = 1.3697 | G LOSS = -2.5999 | AVG R =0.4924 |  
iteration 7550 | D LOSS = 1.3719 | G LOSS = -1.4500 | AVG R =0.4932 |  
iteration 7600 | D LOSS = 1.3716 | G LOSS = -1.6181 | AVG R =0.4922 |  
iteration 7650 | D LOSS = 1.3708 | G LOSS = -1.7636 | AVG R =0.4924 |  
iteration 7700 | D LOSS = 1.3698 | G LOSS = -0.9213 | AVG R =0.4928 |  
iteration 7750 | D LOSS = 1.3712 | G LOSS = -1.7588 | AVG R =0.4923 |  
iteration 7800 | D LOSS = 1.3709 | G LOSS = 1.0160 | AVG R =0.4927 |  
iteration 7850 | D LOSS = 1.3714 | G LOSS = 0.3235 | AVG R =0.4925 |  
iteration 7900 | D LOSS = 1.3712 | G LOSS = -3.1481 | AVG R =0.4929 |  
iteration 7950 | D LOSS = 1.3728 | G LOSS = 0.9288 | AVG R =0.4927 |  
iteration 8000 | D LOSS = 1.3701 | G LOSS = -2.6660 | AVG R =0.4926 |  
iteration 8050 | D LOSS = 1.3730 | G LOSS = -5.0580 | AVG R =0.4930 |  
iteration 8100 | D LOSS = 1.3708 | G LOSS = -2.0518 | AVG R =0.4927 |  
iteration 8150 | D LOSS = 1.3720 | G LOSS = -4.4824 | AVG R =0.4929 |  
iteration 8200 | D LOSS = 1.3717 | G LOSS = -4.0137 | AVG R =0.4927 |  
iteration 8250 | D LOSS = 1.3730 | G LOSS = -4.2755 | AVG R =0.4926 |  
iteration 8300 | D LOSS = 1.3731 | G LOSS = -1.7818 | AVG R =0.4928 |  
iteration 8350 | D LOSS = 1.3716 | G LOSS = 2.4682 | AVG R =0.4919 |  
iteration 8400 | D LOSS = 1.3561 | G LOSS = -463.4758 | AVG R =0.4827 |  
iteration 8450 | D LOSS = 1.2537 | G LOSS = -185276.7969 | AVG R =0.4293 |  
iteration 8500 | D LOSS = 1.2139 | G LOSS = -7719513.5000 | AVG R =0.4130 |  
iteration 8550 | D LOSS = 1.2121 | G LOSS = -81763376.0000 | AVG R =0.4160 |  
iteration 8600 | D LOSS = 1.2184 | G LOSS = -440917344.0000 | AVG R =0.4108 |  
iteration 8650 | D LOSS = 1.2080 | G LOSS = -1654100224.0000 | AVG R =0.4092 |  
iteration 8700 | D LOSS = 1.2139 | G LOSS = -4787350528.0000 | AVG R =0.4174 |  
iteration 8750 | D LOSS = 1.2193 | G LOSS = -11745627136.0000 | AVG R =0.4227 |  
iteration 8800 | D LOSS = 1.2223 | G LOSS = -13990326272.0000 | AVG R =0.4177 |  
iteration 8850 | D LOSS = 1.2149 | G LOSS = -26040113152.0000 | AVG R =0.4133 |  
iteration 8900 | D LOSS = 1.2107 | G LOSS = 2026487168.0000 | AVG R =0.4122 |  
iteration 8950 | D LOSS = 1.1933 | G LOSS = 9169062912.0000 | AVG R =0.4052 |  
iteration 9000 | D LOSS = 1.1849 | G LOSS = 6601928704.0000 | AVG R =0.4092 |  
iteration 9050 | D LOSS = 1.1872 | G LOSS = 8977432576.0000 | AVG R =0.4022 |  
iteration 9100 | D LOSS = 1.1721 | G LOSS = 7260072960.0000 | AVG R =0.4062 |  
iteration 9150 | D LOSS = 1.1834 | G LOSS = 10829946880.0000 | AVG R =0.4001 |  
iteration 9200 | D LOSS = 1.1525 | G LOSS = 8902039552.0000 | AVG R =0.3826 |  
iteration 9250 | D LOSS = 1.1419 | G LOSS = 8603437056.0000 | AVG R =0.3693 |  
iteration 9300 | D LOSS = 1.1206 | G LOSS = 6874683392.0000 | AVG R =0.3805 |  
iteration 9350 | D LOSS = 1.1289 | G LOSS = 5759489024.0000 | AVG R =0.3836 |  
iteration 9400 | D LOSS = 1.1330 | G LOSS = 4991035392.0000 | AVG R =0.3705 |  
iteration 9450 | D LOSS = 1.1308 | G LOSS = 3461268480.0000 | AVG R =0.3797 |  
iteration 9500 | D LOSS = 1.1262 | G LOSS = 2976618496.0000 | AVG R =0.3873 |  
iteration 9550 | D LOSS = 1.1378 | G LOSS = 3331555328.0000 | AVG R =0.3910 |  
iteration 9600 | D LOSS = 1.0993 | G LOSS = 2188707328.0000 | AVG R =0.3864 |  
iteration 9650 | D LOSS = 1.1309 | G LOSS = 2218191360.0000 | AVG R =0.3774 |  
iteration 9700 | D LOSS = 1.1139 | G LOSS = 2457705472.0000 | AVG R =0.3747 |  
iteration 9750 | D LOSS = 1.1203 | G LOSS = 1772961792.0000 | AVG R =0.3642 |  
iteration 9800 | D LOSS = 1.1215 | G LOSS = 1726746112.0000 | AVG R =0.3660 |  
iteration 9850 | D LOSS = 1.1223 | G LOSS = 1620551040.0000 | AVG R =0.3850 |  
iteration 9900 | D LOSS = 1.1192 | G LOSS = 1357801984.0000 | AVG R =0.3739 |  
iteration 9950 | D LOSS = 1.1063 | G LOSS = 1220103936.0000 | AVG R =0.3833 |  
iteration 10000 | D LOSS = 1.1209 | G LOSS = 1097506816.0000 | AVG R =0.3779 |  
iteration 10050 | D LOSS = 1.1189 | G LOSS = 1090148096.0000 | AVG R =0.3755 |  
iteration 10100 | D LOSS = 1.0973 | G LOSS = 931472256.0000 | AVG R =0.3673 |  
iteration 10150 | D LOSS = 1.0831 | G LOSS = 1098613888.0000 | AVG R =0.3534 |  
iteration 10200 | D LOSS = 1.0699 | G LOSS = 907610112.0000 | AVG R =0.3647 |  
iteration 10250 | D LOSS = 1.0882 | G LOSS = 706579456.0000 | AVG R =0.3744 |  
iteration 10300 | D LOSS = 1.1045 | G LOSS = 718525120.0000 | AVG R =0.3666 |  
iteration 10350 | D LOSS = 1.0817 | G LOSS = 669755584.0000 | AVG R =0.3810 |  
iteration 10400 | D LOSS = 1.1023 | G LOSS = 680563392.0000 | AVG R =0.3660 |  
iteration 10450 | D LOSS = 1.0805 | G LOSS = 675963392.0000 | AVG R =0.3584 |  
iteration 10500 | D LOSS = 1.0625 | G LOSS = 473987424.0000 | AVG R =0.3748 |  
iteration 10550 | D LOSS = 1.0606 | G LOSS = 435115456.0000 | AVG R =0.3591 |  
iteration 10600 | D LOSS = 1.0601 | G LOSS = 476093184.0000 | AVG R =0.3502 |  
iteration 10650 | D LOSS = 1.0512 | G LOSS = 310772480.0000 | AVG R =0.3755 |  
iteration 10700 | D LOSS = 1.0680 | G LOSS = 351341056.0000 | AVG R =0.3620 |  
iteration 10750 | D LOSS = 1.0695 | G LOSS = 267429120.0000 | AVG R =0.3732 |  
iteration 10800 | D LOSS = 1.0441 | G LOSS = 277318208.0000 | AVG R =0.3543 |  
iteration 10850 | D LOSS = 1.0588 | G LOSS = 316172096.0000 | AVG R =0.3597 |  
iteration 10900 | D LOSS = 1.0628 | G LOSS = 276082656.0000 | AVG R =0.3447 |  
iteration 10950 | D LOSS = 1.0431 | G LOSS = 186292160.0000 | AVG R =0.3614 |  
iteration 11000 | D LOSS = 1.0404 | G LOSS = 205491520.0000 | AVG R =0.3320 |  
iteration 11050 | D LOSS = 1.0309 | G LOSS = 150304352.0000 | AVG R =0.3360 |  
iteration 11100 | D LOSS = 1.0507 | G LOSS = 131089152.0000 | AVG R =0.3459 |  
iteration 11150 | D LOSS = 1.0431 | G LOSS = 110086208.0000 | AVG R =0.3349 |  
iteration 11200 | D LOSS = 1.0494 | G LOSS = 118332608.0000 | AVG R =0.3308 |  
iteration 11250 | D LOSS = 1.0210 | G LOSS = 118165952.0000 | AVG R =0.3511 |  
iteration 11300 | D LOSS = 1.0749 | G LOSS = 84218608.0000 | AVG R =0.3501 |  
iteration 11350 | D LOSS = 1.0412 | G LOSS = 77266832.0000 | AVG R =0.3298 |  
iteration 11400 | D LOSS = 1.0082 | G LOSS = 69532680.0000 | AVG R =0.3313 |  
iteration 11450 | D LOSS = 0.9939 | G LOSS = 59377968.0000 | AVG R =0.3211 |  
iteration 11500 | D LOSS = 1.0178 | G LOSS = 49077324.0000 | AVG R =0.3315 |  
iteration 11550 | D LOSS = 0.9960 | G LOSS = 48036336.0000 | AVG R =0.3148 |  
iteration 11600 | D LOSS = 0.9867 | G LOSS = 32912984.0000 | AVG R =0.3371 |  
iteration 11650 | D LOSS = 1.0039 | G LOSS = 25571668.0000 | AVG R =0.3358 |  
iteration 11700 | D LOSS = 0.9950 | G LOSS = 24487848.0000 | AVG R =0.3392 |  
iteration 11750 | D LOSS = 1.0174 | G LOSS = 16660504.0000 | AVG R =0.3191 |  
iteration 11800 | D LOSS = 0.9983 | G LOSS = 11073618.0000 | AVG R =0.3090 |  
iteration 11850 | D LOSS = 0.9986 | G LOSS = 11999326.0000 | AVG R =0.3076 |  
iteration 11900 | D LOSS = 0.9813 | G LOSS = 9575938.0000 | AVG R =0.2988 |  
iteration 11950 | D LOSS = 0.9545 | G LOSS = 6425975.0000 | AVG R =0.3083 |  
iteration 12000 | D LOSS = 0.9875 | G LOSS = 3930947.5000 | AVG R =0.3147 |  
iteration 12050 | D LOSS = 0.9488 | G LOSS = 2747609.0000 | AVG R =0.3109 |  
iteration 12100 | D LOSS = 0.9540 | G LOSS = 2330549.0000 | AVG R =0.3029 |  
iteration 12150 | D LOSS = 0.9521 | G LOSS = -1216311.6250 | AVG R =0.3041 |  
iteration 12200 | D LOSS = 0.9794 | G LOSS = -3374151.7500 | AVG R =0.2951 |  
iteration 12250 | D LOSS = 0.9398 | G LOSS = -4310071.0000 | AVG R =0.2895 |  
iteration 12300 | D LOSS = 0.9331 | G LOSS = -5660431.0000 | AVG R =0.3069 |  
iteration 12350 | D LOSS = 0.9442 | G LOSS = -6334621.0000 | AVG R =0.2825 |  
iteration 12400 | D LOSS = 0.9756 | G LOSS = -6473819.0000 | AVG R =0.2820 |  
iteration 12450 | D LOSS = 0.9330 | G LOSS = -6237773.5000 | AVG R =0.2863 |  
iteration 12500 | D LOSS = 0.9257 | G LOSS = -8839998.0000 | AVG R =0.2960 |  
iteration 12550 | D LOSS = 0.9370 | G LOSS = -8526615.0000 | AVG R =0.2839 |  
iteration 12600 | D LOSS = 0.9361 | G LOSS = -8987726.0000 | AVG R =0.2836 |  
iteration 12650 | D LOSS = 0.9263 | G LOSS = -13089810.0000 | AVG R =0.2846 |  
iteration 12700 | D LOSS = 0.8984 | G LOSS = -13165443.0000 | AVG R =0.2843 |  
iteration 12750 | D LOSS = 0.9233 | G LOSS = -13732318.0000 | AVG R =0.2788 |  
iteration 12800 | D LOSS = 0.9263 | G LOSS = -15280310.0000 | AVG R =0.2744 |  
iteration 12850 | D LOSS = 0.9184 | G LOSS = -15321419.0000 | AVG R =0.2774 |  
iteration 12900 | D LOSS = 0.9106 | G LOSS = -19183838.0000 | AVG R =0.2809 |  
iteration 12950 | D LOSS = 0.9026 | G LOSS = -20492326.0000 | AVG R =0.2780 |  
iteration 13000 | D LOSS = 0.8983 | G LOSS = -16786382.0000 | AVG R =0.2712 |  
iteration 13050 | D LOSS = 0.8869 | G LOSS = -16813262.0000 | AVG R =0.2626 |  
iteration 13100 | D LOSS = 0.8754 | G LOSS = -18043346.0000 | AVG R =0.2576 |  
iteration 13150 | D LOSS = 0.8674 | G LOSS = -20394984.0000 | AVG R =0.2563 |  
iteration 13200 | D LOSS = 0.8667 | G LOSS = -22135960.0000 | AVG R =0.2574 |  
iteration 13250 | D LOSS = 0.8640 | G LOSS = -31397812.0000 | AVG R =0.2569 |  
iteration 13300 | D LOSS = 0.8626 | G LOSS = -40787084.0000 | AVG R =0.2568 |  
