Logging
ITERATION 200.0000 | TOTAL G LOSS 0.6263
ITERATION 201.0000 | TOTAL G LOSS 1.8556
ITERATION 202.0000 | TOTAL G LOSS -0.1888
ITERATION 203.0000 | TOTAL G LOSS 1.6241
ITERATION 204.0000 | TOTAL G LOSS -0.2655
ITERATION 205.0000 | TOTAL G LOSS 1.0271
ITERATION 206.0000 | TOTAL G LOSS -1.9730
ITERATION 207.0000 | TOTAL G LOSS 0.7263
ITERATION 208.0000 | TOTAL G LOSS 1.8013
ITERATION 209.0000 | TOTAL G LOSS 1.0455
ITERATION 210.0000 | TOTAL G LOSS -1.4591
ITERATION 211.0000 | TOTAL G LOSS -0.8576
ITERATION 212.0000 | TOTAL G LOSS -0.1960
ITERATION 213.0000 | TOTAL G LOSS -1.1223
ITERATION 214.0000 | TOTAL G LOSS 0.8404
ITERATION 215.0000 | TOTAL G LOSS 0.6417
ITERATION 216.0000 | TOTAL G LOSS 0.5180
ITERATION 217.0000 | TOTAL G LOSS -0.7270
ITERATION 218.0000 | TOTAL G LOSS -0.2366
ITERATION 219.0000 | TOTAL G LOSS -0.2225
ITERATION 220.0000 | TOTAL G LOSS -0.3906
ITERATION 221.0000 | TOTAL G LOSS 0.2569
ITERATION 222.0000 | TOTAL G LOSS 0.3576
ITERATION 223.0000 | TOTAL G LOSS 0.1214
ITERATION 224.0000 | TOTAL G LOSS -1.6636
ITERATION 225.0000 | TOTAL G LOSS 0.5953
ITERATION 226.0000 | TOTAL G LOSS -0.4423
ITERATION 227.0000 | TOTAL G LOSS 0.9609
ITERATION 228.0000 | TOTAL G LOSS -0.2089
ITERATION 229.0000 | TOTAL G LOSS 0.2195
ITERATION 230.0000 | TOTAL G LOSS -0.5865
ITERATION 231.0000 | TOTAL G LOSS 0.8830
ITERATION 232.0000 | TOTAL G LOSS -2.3577
ITERATION 233.0000 | TOTAL G LOSS 2.0832
ITERATION 234.0000 | TOTAL G LOSS -0.2119
ITERATION 235.0000 | TOTAL G LOSS -0.1192
ITERATION 236.0000 | TOTAL G LOSS -0.8680
ITERATION 237.0000 | TOTAL G LOSS -0.3257
ITERATION 238.0000 | TOTAL G LOSS -0.1181
ITERATION 239.0000 | TOTAL G LOSS 1.5983
ITERATION 240.0000 | TOTAL G LOSS 1.5233
ITERATION 241.0000 | TOTAL G LOSS 0.2540
ITERATION 242.0000 | TOTAL G LOSS 2.3133
ITERATION 243.0000 | TOTAL G LOSS 1.3101
ITERATION 244.0000 | TOTAL G LOSS -0.0607
ITERATION 245.0000 | TOTAL G LOSS 0.0145
ITERATION 246.0000 | TOTAL G LOSS 1.8411
ITERATION 247.0000 | TOTAL G LOSS 1.5124
ITERATION 248.0000 | TOTAL G LOSS 0.1810
ITERATION 249.0000 | TOTAL G LOSS 1.4861
ITERATION 250.0000 | TOTAL G LOSS 0.4433
ITERATION 251.0000 | TOTAL G LOSS 2.5039
ITERATION 252.0000 | TOTAL G LOSS 0.7946
ITERATION 253.0000 | TOTAL G LOSS 0.0135
ITERATION 254.0000 | TOTAL G LOSS 1.8620
ITERATION 255.0000 | TOTAL G LOSS 2.1998
ITERATION 256.0000 | TOTAL G LOSS 2.5619
ITERATION 257.0000 | TOTAL G LOSS 0.7064
ITERATION 258.0000 | TOTAL G LOSS 2.6210
ITERATION 259.0000 | TOTAL G LOSS 1.8610
ITERATION 260.0000 | TOTAL G LOSS 1.8768
ITERATION 261.0000 | TOTAL G LOSS 1.4418
ITERATION 262.0000 | TOTAL G LOSS -0.0854
ITERATION 263.0000 | TOTAL G LOSS 1.4156
ITERATION 264.0000 | TOTAL G LOSS 1.8180
ITERATION 265.0000 | TOTAL G LOSS -1.4714
