α=88.00%, θ*=3.55, TPR=0.8055, FPR=0.8132, PPV=0.4976, Advantage=-0.0077
α=89.00%, θ*=3.60, TPR=0.8436, FPR=0.8832, PPV=0.4885, Advantage=-0.0396
α=90.00%, θ*=3.60, TPR=0.8436, FPR=0.8832, PPV=0.4885, Advantage=-0.0396
α=91.00%, θ*=3.60, TPR=0.8436, FPR=0.8832, PPV=0.4885, Advantage=-0.0396
α=92.00%, θ*=3.65, TPR=0.8792, FPR=0.9193, PPV=0.4889, Advantage=-0.0401
α=93.00%, θ*=3.65, TPR=0.8792, FPR=0.9193, PPV=0.4889, Advantage=-0.0401
α=94.00%, θ*=3.70, TPR=0.9063, FPR=0.9363, PPV=0.4919, Advantage=-0.0300
α=95.00%, θ*=3.75, TPR=0.9245, FPR=0.9469, PPV=0.4940, Advantage=-0.0224
α=96.00%, θ*=3.75, TPR=0.9245, FPR=0.9469, PPV=0.4940, Advantage=-0.0224
α=97.00%, θ*=3.95, TPR=0.9759, FPR=0.9660, PPV=0.5025, Advantage=0.0099
α=98.00%, θ*=3.95, TPR=0.9759, FPR=0.9660, PPV=0.5025, Advantage=0.0099
α=99.00%, θ*=4.05, TPR=0.9877, FPR=0.9894, PPV=0.4996, Advantage=-0.0017
α=100.00%, θ*=4.70, TPR=1.0000, FPR=1.0000, PPV=0.5000, Advantage=0.0000
