Logging
iteration 9000 | D LOSS = 1.3488 | G LOSS = -1.1726 | AVG R =0.4817 |  
iteration 9050 | D LOSS = 1.3483 | G LOSS = 2.5388 | AVG R =0.4812 |  
iteration 9100 | D LOSS = 1.3471 | G LOSS = 0.2676 | AVG R =0.4813 |  
iteration 9150 | D LOSS = 1.3495 | G LOSS = 1.0108 | AVG R =0.4818 |  
iteration 9200 | D LOSS = 1.3491 | G LOSS = -1.1003 | AVG R =0.4809 |  
iteration 9250 | D LOSS = 1.3497 | G LOSS = 1.0651 | AVG R =0.4818 |  
iteration 9300 | D LOSS = 1.3491 | G LOSS = -0.2426 | AVG R =0.4820 |  
iteration 9350 | D LOSS = 1.3484 | G LOSS = 0.4950 | AVG R =0.4820 |  
iteration 9400 | D LOSS = 1.3498 | G LOSS = 1.0415 | AVG R =0.4814 |  
iteration 9450 | D LOSS = 1.3493 | G LOSS = -1.6505 | AVG R =0.4822 |  
iteration 9500 | D LOSS = 1.3496 | G LOSS = 0.2853 | AVG R =0.4824 |  
iteration 9550 | D LOSS = 1.3489 | G LOSS = -1.0347 | AVG R =0.4819 |  
iteration 9600 | D LOSS = 1.3485 | G LOSS = -0.8134 | AVG R =0.4822 |  
iteration 9650 | D LOSS = 1.3494 | G LOSS = 0.6968 | AVG R =0.4824 |  
iteration 9700 | D LOSS = 1.3479 | G LOSS = -0.9150 | AVG R =0.4814 |  
iteration 9750 | D LOSS = 1.3494 | G LOSS = 1.6837 | AVG R =0.4818 |  
iteration 9800 | D LOSS = 1.3478 | G LOSS = -2.0350 | AVG R =0.4815 |  
iteration 9850 | D LOSS = 1.3478 | G LOSS = 0.3856 | AVG R =0.4817 |  
iteration 9900 | D LOSS = 1.3471 | G LOSS = -1.9349 | AVG R =0.4807 |  
iteration 9950 | D LOSS = 1.3486 | G LOSS = -0.8408 | AVG R =0.4814 |  
iteration 10000 | D LOSS = 1.3482 | G LOSS = 1.2831 | AVG R =0.4821 |  
iteration 10050 | D LOSS = 1.3482 | G LOSS = 0.2586 | AVG R =0.4805 |  
iteration 10100 | D LOSS = 1.3478 | G LOSS = 0.9184 | AVG R =0.4810 |  
iteration 10150 | D LOSS = 1.3496 | G LOSS = -0.7941 | AVG R =0.4809 |  
iteration 10200 | D LOSS = 1.3496 | G LOSS = -0.5210 | AVG R =0.4810 |  
iteration 10250 | D LOSS = 1.3497 | G LOSS = -1.2635 | AVG R =0.4805 |  
iteration 10300 | D LOSS = 1.3472 | G LOSS = -0.4502 | AVG R =0.4811 |  
iteration 10350 | D LOSS = 1.3487 | G LOSS = 1.3524 | AVG R =0.4806 |  
iteration 10400 | D LOSS = 1.3493 | G LOSS = -1.5581 | AVG R =0.4804 |  
iteration 10450 | D LOSS = 1.3496 | G LOSS = 0.7468 | AVG R =0.4806 |  
iteration 10500 | D LOSS = 1.3477 | G LOSS = -1.5332 | AVG R =0.4808 |  
iteration 10550 | D LOSS = 1.3496 | G LOSS = -0.2831 | AVG R =0.4813 |  
iteration 10600 | D LOSS = 1.3475 | G LOSS = -0.0835 | AVG R =0.4810 |  
