α=61.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=62.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=63.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=64.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=65.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=66.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=67.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=68.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=69.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=70.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=71.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=72.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=73.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=74.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=75.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=76.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=77.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=78.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=79.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=80.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=81.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=82.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=83.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=84.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=85.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=86.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=87.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=88.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=89.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=90.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=91.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=92.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=93.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=94.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=95.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=96.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
