Logging
iteration 4500 | D LOSS = 1.3642 | G LOSS = -3.3777 | AVG R =0.4897 |  
iteration 4550 | D LOSS = 1.3648 | G LOSS = 1.6776 | AVG R =0.4898 |  
iteration 4600 | D LOSS = 1.3639 | G LOSS = -4.3601 | AVG R =0.4894 |  
iteration 4650 | D LOSS = 1.3640 | G LOSS = -5.5581 | AVG R =0.4892 |  
iteration 4700 | D LOSS = 1.3633 | G LOSS = 1.8623 | AVG R =0.4888 |  
iteration 4750 | D LOSS = 1.3630 | G LOSS = 1.4149 | AVG R =0.4889 |  
iteration 4800 | D LOSS = 1.3631 | G LOSS = -2.1314 | AVG R =0.4884 |  
iteration 4850 | D LOSS = 1.3632 | G LOSS = -0.7537 | AVG R =0.4889 |  
iteration 4900 | D LOSS = 1.3625 | G LOSS = -0.5492 | AVG R =0.4888 |  
iteration 4950 | D LOSS = 1.3632 | G LOSS = -1.0639 | AVG R =0.4889 |  
iteration 5000 | D LOSS = 1.3637 | G LOSS = -3.1875 | AVG R =0.4883 |  
iteration 5050 | D LOSS = 1.3642 | G LOSS = -2.5364 | AVG R =0.4883 |  
iteration 5100 | D LOSS = 1.3653 | G LOSS = -2.1557 | AVG R =0.4888 |  
iteration 5150 | D LOSS = 1.3640 | G LOSS = -1.5941 | AVG R =0.4891 |  
iteration 5200 | D LOSS = 1.3648 | G LOSS = -1.8356 | AVG R =0.4892 |  
iteration 5250 | D LOSS = 1.3652 | G LOSS = -2.4242 | AVG R =0.4893 |  
iteration 5300 | D LOSS = 1.3639 | G LOSS = -2.4733 | AVG R =0.4892 |  
iteration 5350 | D LOSS = 1.3650 | G LOSS = 0.4379 | AVG R =0.4897 |  
iteration 5400 | D LOSS = 1.3642 | G LOSS = -2.3402 | AVG R =0.4900 |  
iteration 5450 | D LOSS = 1.3643 | G LOSS = -0.2218 | AVG R =0.4895 |  
iteration 5500 | D LOSS = 1.3660 | G LOSS = -0.7241 | AVG R =0.4890 |  
iteration 5550 | D LOSS = 1.3656 | G LOSS = 1.5775 | AVG R =0.4900 |  
iteration 5600 | D LOSS = 1.3663 | G LOSS = -1.5261 | AVG R =0.4904 |  
iteration 5650 | D LOSS = 1.3655 | G LOSS = -0.0563 | AVG R =0.4900 |  
iteration 5700 | D LOSS = 1.3664 | G LOSS = -1.3946 | AVG R =0.4893 |  
iteration 5750 | D LOSS = 1.3655 | G LOSS = 0.3552 | AVG R =0.4904 |  
iteration 5800 | D LOSS = 1.3657 | G LOSS = -4.8141 | AVG R =0.4902 |  
iteration 5850 | D LOSS = 1.3658 | G LOSS = -0.4955 | AVG R =0.4901 |  
iteration 5900 | D LOSS = 1.3668 | G LOSS = -0.1201 | AVG R =0.4899 |  
iteration 5950 | D LOSS = 1.3661 | G LOSS = 0.0109 | AVG R =0.4893 |  
iteration 6000 | D LOSS = 1.3675 | G LOSS = -5.2077 | AVG R =0.4897 |  
iteration 6050 | D LOSS = 1.3671 | G LOSS = -4.4627 | AVG R =0.4897 |  
iteration 6100 | D LOSS = 1.3675 | G LOSS = -1.2158 | AVG R =0.4910 |  
iteration 6150 | D LOSS = 1.3667 | G LOSS = 0.4736 | AVG R =0.4903 |  
iteration 6200 | D LOSS = 1.3677 | G LOSS = -1.5051 | AVG R =0.4909 |  
iteration 6250 | D LOSS = 1.3683 | G LOSS = -1.1773 | AVG R =0.4906 |  
iteration 6300 | D LOSS = 1.3676 | G LOSS = -1.0756 | AVG R =0.4913 |  
iteration 6350 | D LOSS = 1.3681 | G LOSS = -1.9481 | AVG R =0.4911 |  
iteration 6400 | D LOSS = 1.3683 | G LOSS = 1.6238 | AVG R =0.4917 |  
iteration 6450 | D LOSS = 1.3670 | G LOSS = -0.5836 | AVG R =0.4908 |  
iteration 6500 | D LOSS = 1.3682 | G LOSS = 5.5983 | AVG R =0.4916 |  
iteration 6550 | D LOSS = 1.3518 | G LOSS = -289.0596 | AVG R =0.4847 |  
iteration 6600 | D LOSS = 1.2724 | G LOSS = -152270.1250 | AVG R =0.4336 |  
iteration 6650 | D LOSS = 1.2235 | G LOSS = -3744198.0000 | AVG R =0.4156 |  
iteration 6700 | D LOSS = 1.2172 | G LOSS = -45415660.0000 | AVG R =0.4155 |  
iteration 6750 | D LOSS = 1.2205 | G LOSS = -362510016.0000 | AVG R =0.4181 |  
iteration 6800 | D LOSS = 1.2292 | G LOSS = -1432167424.0000 | AVG R =0.4180 |  
iteration 6850 | D LOSS = 1.2231 | G LOSS = -3387208192.0000 | AVG R =0.4224 |  
iteration 6900 | D LOSS = 1.2232 | G LOSS = -6901743104.0000 | AVG R =0.4203 |  
iteration 6950 | D LOSS = 1.2293 | G LOSS = -14016723968.0000 | AVG R =0.4215 |  
iteration 7000 | D LOSS = 1.2208 | G LOSS = -33488941056.0000 | AVG R =0.4179 |  
iteration 7050 | D LOSS = 1.2205 | G LOSS = -65510203392.0000 | AVG R =0.4194 |  
iteration 7100 | D LOSS = 1.2251 | G LOSS = -112617717760.0000 | AVG R =0.4200 |  
iteration 7150 | D LOSS = 1.2223 | G LOSS = -174927560704.0000 | AVG R =0.4163 |  
iteration 7200 | D LOSS = 1.2208 | G LOSS = -280686592000.0000 | AVG R =0.4187 |  
iteration 7250 | D LOSS = 1.2262 | G LOSS = -397396017152.0000 | AVG R =0.4201 |  
iteration 7300 | D LOSS = 1.2346 | G LOSS = -481703690240.0000 | AVG R =0.4251 |  
iteration 7350 | D LOSS = 1.2180 | G LOSS = -710219988992.0000 | AVG R =0.4181 |  
iteration 7400 | D LOSS = 1.2232 | G LOSS = -1094783598592.0000 | AVG R =0.4189 |  
iteration 7450 | D LOSS = 1.2172 | G LOSS = -1694740774912.0000 | AVG R =0.4179 |  
iteration 7500 | D LOSS = 1.2242 | G LOSS = -1823834898432.0000 | AVG R =0.4200 |  
iteration 7550 | D LOSS = 1.2237 | G LOSS = -3199748014080.0000 | AVG R =0.4201 |  
iteration 7600 | D LOSS = 1.2302 | G LOSS = -3473705533440.0000 | AVG R =0.4248 |  
iteration 7650 | D LOSS = 1.2221 | G LOSS = -4534292185088.0000 | AVG R =0.4193 |  
iteration 7700 | D LOSS = 1.2216 | G LOSS = -6573144932352.0000 | AVG R =0.4181 |  
iteration 7750 | D LOSS = 1.2265 | G LOSS = -7334018940928.0000 | AVG R =0.4192 |  
iteration 7800 | D LOSS = 1.2222 | G LOSS = -10179176300544.0000 | AVG R =0.4229 |  
iteration 7850 | D LOSS = 1.2197 | G LOSS = -14268019769344.0000 | AVG R =0.4172 |  
