Logging
ITERATION 151.0000 | TOTAL G LOSS 0.6036
ITERATION 152.0000 | TOTAL G LOSS -0.3206
ITERATION 153.0000 | TOTAL G LOSS -2.5603
ITERATION 154.0000 | TOTAL G LOSS -1.1893
ITERATION 155.0000 | TOTAL G LOSS -1.4110
ITERATION 156.0000 | TOTAL G LOSS -3.1021
ITERATION 157.0000 | TOTAL G LOSS -1.0995
ITERATION 158.0000 | TOTAL G LOSS -2.3294
ITERATION 159.0000 | TOTAL G LOSS -2.4224
ITERATION 160.0000 | TOTAL G LOSS -3.3124
ITERATION 161.0000 | TOTAL G LOSS -3.5244
ITERATION 162.0000 | TOTAL G LOSS -1.6457
ITERATION 163.0000 | TOTAL G LOSS -3.3012
ITERATION 164.0000 | TOTAL G LOSS -1.1027
ITERATION 165.0000 | TOTAL G LOSS -0.3537
ITERATION 166.0000 | TOTAL G LOSS 0.3743
ITERATION 167.0000 | TOTAL G LOSS -2.7247
ITERATION 168.0000 | TOTAL G LOSS -0.4772
ITERATION 169.0000 | TOTAL G LOSS -1.3252
ITERATION 170.0000 | TOTAL G LOSS -1.3746
ITERATION 171.0000 | TOTAL G LOSS -0.9764
ITERATION 172.0000 | TOTAL G LOSS 0.4530
ITERATION 173.0000 | TOTAL G LOSS 0.7233
ITERATION 174.0000 | TOTAL G LOSS -1.7894
ITERATION 175.0000 | TOTAL G LOSS -2.6467
ITERATION 176.0000 | TOTAL G LOSS 1.3517
ITERATION 177.0000 | TOTAL G LOSS -0.5465
ITERATION 178.0000 | TOTAL G LOSS 0.3320
ITERATION 179.0000 | TOTAL G LOSS 0.4626
ITERATION 180.0000 | TOTAL G LOSS 0.0267
ITERATION 181.0000 | TOTAL G LOSS -1.0723
ITERATION 182.0000 | TOTAL G LOSS -1.3376
ITERATION 183.0000 | TOTAL G LOSS -1.1620
ITERATION 184.0000 | TOTAL G LOSS -0.2941
ITERATION 185.0000 | TOTAL G LOSS -0.5461
ITERATION 186.0000 | TOTAL G LOSS -1.6731
ITERATION 187.0000 | TOTAL G LOSS -1.5415
ITERATION 188.0000 | TOTAL G LOSS -2.4052
ITERATION 189.0000 | TOTAL G LOSS -1.6814
ITERATION 190.0000 | TOTAL G LOSS 0.2015
ITERATION 191.0000 | TOTAL G LOSS 0.9985
ITERATION 192.0000 | TOTAL G LOSS -2.2712
ITERATION 193.0000 | TOTAL G LOSS -1.7937
ITERATION 194.0000 | TOTAL G LOSS -0.2124
ITERATION 195.0000 | TOTAL G LOSS -1.2829
ITERATION 196.0000 | TOTAL G LOSS -1.9081
ITERATION 197.0000 | TOTAL G LOSS -1.6409
ITERATION 198.0000 | TOTAL G LOSS -0.5564
ITERATION 199.0000 | TOTAL G LOSS 0.7629
ITERATION 200.0000 | TOTAL G LOSS 0.3277
ITERATION 201.0000 | TOTAL G LOSS 1.0730
ITERATION 202.0000 | TOTAL G LOSS 1.1209
ITERATION 203.0000 | TOTAL G LOSS 0.1269
ITERATION 204.0000 | TOTAL G LOSS 1.3126
ITERATION 205.0000 | TOTAL G LOSS 3.1210
