Logging
iteration 8700 | D LOSS = 1.3767 | G LOSS = -0.0245 | AVG R =0.4952 | mean_pen: 0.0002 |  
iteration 8750 | D LOSS = 1.3755 | G LOSS = -0.0287 | AVG R =0.4942 | mean_pen: 0.0002 |  
iteration 8800 | D LOSS = 1.3756 | G LOSS = -0.0279 | AVG R =0.4950 | mean_pen: 0.0002 |  
iteration 8850 | D LOSS = 1.3762 | G LOSS = -0.0202 | AVG R =0.4951 | mean_pen: 0.0001 |  
iteration 8900 | D LOSS = 1.3759 | G LOSS = -0.0205 | AVG R =0.4950 | mean_pen: 0.0001 |  
iteration 8950 | D LOSS = 1.3765 | G LOSS = -0.0356 | AVG R =0.4951 | mean_pen: 0.0001 |  
iteration 9000 | D LOSS = 1.3766 | G LOSS = -0.0383 | AVG R =0.4950 | mean_pen: 0.0001 |  
iteration 9050 | D LOSS = 1.3770 | G LOSS = -0.0260 | AVG R =0.4950 | mean_pen: 0.0002 |  
iteration 9100 | D LOSS = 1.3768 | G LOSS = -0.0344 | AVG R =0.4944 | mean_pen: 0.0001 |  
iteration 9150 | D LOSS = 1.3757 | G LOSS = -0.0253 | AVG R =0.4953 | mean_pen: 0.0002 |  
iteration 9200 | D LOSS = 1.3763 | G LOSS = -0.0367 | AVG R =0.4951 | mean_pen: 0.0002 |  
iteration 9250 | D LOSS = 1.3757 | G LOSS = -0.0231 | AVG R =0.4945 | mean_pen: 0.0002 |  
iteration 9300 | D LOSS = 1.3755 | G LOSS = -0.0209 | AVG R =0.4950 | mean_pen: 0.0002 |  
iteration 9350 | D LOSS = 1.3764 | G LOSS = -0.0173 | AVG R =0.4950 | mean_pen: 0.0002 |  
iteration 9400 | D LOSS = 1.3763 | G LOSS = -0.0248 | AVG R =0.4950 | mean_pen: 0.0002 |  
iteration 9450 | D LOSS = 1.3745 | G LOSS = -0.0266 | AVG R =0.4946 | mean_pen: 0.0002 |  
iteration 9500 | D LOSS = 1.3761 | G LOSS = -0.0281 | AVG R =0.4947 | mean_pen: 0.0002 |  
iteration 9550 | D LOSS = 1.3763 | G LOSS = -0.0213 | AVG R =0.4945 | mean_pen: 0.0002 |  
