Logging
iteration 8750 | D LOSS = 1.2067 | G LOSS = 0.8951 | mean_pen: 0.0000 |  
iteration 8800 | D LOSS = 1.2051 | G LOSS = 0.8954 | mean_pen: 0.0000 |  
iteration 8850 | D LOSS = 1.2004 | G LOSS = 0.8921 | mean_pen: 0.0000 |  
iteration 8900 | D LOSS = 1.1861 | G LOSS = 0.9026 | mean_pen: 0.0000 |  
iteration 8950 | D LOSS = 1.2121 | G LOSS = 0.8979 | mean_pen: 0.0000 |  
iteration 9000 | D LOSS = 1.2172 | G LOSS = 0.9057 | mean_pen: 0.0000 |  
iteration 9050 | D LOSS = 1.1804 | G LOSS = 0.8998 | mean_pen: 0.0000 |  
iteration 9100 | D LOSS = 1.1935 | G LOSS = 0.9028 | mean_pen: 0.0000 |  
iteration 9150 | D LOSS = 1.1705 | G LOSS = 0.8909 | mean_pen: 0.0000 |  
iteration 9200 | D LOSS = 1.1852 | G LOSS = 0.9019 | mean_pen: 0.0000 |  
iteration 9250 | D LOSS = 1.2241 | G LOSS = 0.8933 | mean_pen: 0.0000 |  
iteration 9300 | D LOSS = 1.1644 | G LOSS = 0.8934 | mean_pen: 0.0000 |  
iteration 9350 | D LOSS = 1.1880 | G LOSS = 0.9009 | mean_pen: 0.0000 |  
iteration 9400 | D LOSS = 1.2385 | G LOSS = 0.9049 | mean_pen: 0.0000 |  
iteration 9450 | D LOSS = 1.2062 | G LOSS = 0.9030 | mean_pen: 0.0000 |  
iteration 9500 | D LOSS = 1.2019 | G LOSS = 0.8998 | mean_pen: 0.0000 |  
iteration 9550 | D LOSS = 1.2156 | G LOSS = 0.9030 | mean_pen: 0.0000 |  
iteration 9600 | D LOSS = 1.1929 | G LOSS = 0.9076 | mean_pen: 0.0000 |  
iteration 9650 | D LOSS = 1.1875 | G LOSS = 0.9101 | mean_pen: 0.0000 |  
iteration 9700 | D LOSS = 1.2190 | G LOSS = 0.9136 | mean_pen: 0.0000 |  
iteration 9750 | D LOSS = 1.2258 | G LOSS = 0.9083 | mean_pen: 0.0000 |  
iteration 9800 | D LOSS = 1.1804 | G LOSS = 0.9126 | mean_pen: 0.0000 |  
iteration 9850 | D LOSS = 1.1864 | G LOSS = 0.9076 | mean_pen: 0.0000 |  
iteration 9900 | D LOSS = 1.1771 | G LOSS = 0.9088 | mean_pen: 0.0000 |  
iteration 9950 | D LOSS = 1.1799 | G LOSS = 0.9170 | mean_pen: 0.0000 |  
iteration 10000 | D LOSS = 1.1704 | G LOSS = 0.9082 | mean_pen: 0.0000 |  
iteration 10050 | D LOSS = 1.2009 | G LOSS = 0.8989 | mean_pen: 0.0000 |  
iteration 10100 | D LOSS = 1.1839 | G LOSS = 0.9017 | mean_pen: 0.0000 |  
iteration 10150 | D LOSS = 1.2412 | G LOSS = 0.9198 | mean_pen: 0.0000 |  
iteration 10200 | D LOSS = 1.1864 | G LOSS = 0.9061 | mean_pen: 0.0000 |  
iteration 10250 | D LOSS = 1.1974 | G LOSS = 0.9117 | mean_pen: 0.0000 |  
iteration 10300 | D LOSS = 1.1735 | G LOSS = 0.9019 | mean_pen: 0.0000 |  
iteration 10350 | D LOSS = 1.1691 | G LOSS = 0.9060 | mean_pen: 0.0000 |  
iteration 10400 | D LOSS = 1.1927 | G LOSS = 0.9020 | mean_pen: 0.0000 |  
iteration 10450 | D LOSS = 1.1894 | G LOSS = 0.9043 | mean_pen: 0.0000 |  
iteration 10500 | D LOSS = 1.2131 | G LOSS = 0.9064 | mean_pen: 0.0000 |  
iteration 10550 | D LOSS = 1.1589 | G LOSS = 0.9131 | mean_pen: 0.0000 |  
iteration 10600 | D LOSS = 1.1709 | G LOSS = 0.9081 | mean_pen: 0.0000 |  
iteration 10650 | D LOSS = 1.1744 | G LOSS = 0.9023 | mean_pen: 0.0000 |  
iteration 10700 | D LOSS = 1.1661 | G LOSS = 0.9057 | mean_pen: 0.0000 |  
iteration 10750 | D LOSS = 1.2008 | G LOSS = 0.9048 | mean_pen: 0.0000 |  
iteration 10800 | D LOSS = 1.2118 | G LOSS = 0.9057 | mean_pen: 0.0000 |  
iteration 10850 | D LOSS = 1.1731 | G LOSS = 0.9078 | mean_pen: 0.0000 |  
iteration 10900 | D LOSS = 1.1854 | G LOSS = 0.9003 | mean_pen: 0.0000 |  
iteration 10950 | D LOSS = 1.1912 | G LOSS = 0.8989 | mean_pen: 0.0000 |  
iteration 11000 | D LOSS = 1.1723 | G LOSS = 0.9017 | mean_pen: 0.0000 |  
iteration 11050 | D LOSS = 1.1882 | G LOSS = 0.8977 | mean_pen: 0.0000 |  
iteration 11100 | D LOSS = 1.1842 | G LOSS = 0.8992 | mean_pen: 0.0000 |  
iteration 11150 | D LOSS = 1.2033 | G LOSS = 0.9064 | mean_pen: 0.0000 |  
iteration 11200 | D LOSS = 1.1894 | G LOSS = 0.9030 | mean_pen: 0.0000 |  
iteration 11250 | D LOSS = 1.2252 | G LOSS = 0.9002 | mean_pen: 0.0000 |  
iteration 11300 | D LOSS = 1.1871 | G LOSS = 0.8997 | mean_pen: 0.0000 |  
iteration 11350 | D LOSS = 1.2252 | G LOSS = 0.9075 | mean_pen: 0.0000 |  
iteration 11400 | D LOSS = 1.2413 | G LOSS = 0.8999 | mean_pen: 0.0000 |  
iteration 11450 | D LOSS = 1.2121 | G LOSS = 0.9122 | mean_pen: 0.0000 |  
iteration 11500 | D LOSS = 1.2199 | G LOSS = 0.9040 | mean_pen: 0.0000 |  
