Logging
ITERATION 137.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8232
ITERATION 138.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8182
ITERATION 139.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8171
ITERATION 140.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8155
ITERATION 141.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8232
ITERATION 142.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8158
ITERATION 143.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8189
ITERATION 144.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8184
ITERATION 145.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8142
ITERATION 146.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8208
ITERATION 147.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8182
ITERATION 148.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8146
ITERATION 149.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8148
ITERATION 150.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8161
ITERATION 151.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8185
ITERATION 152.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8160
ITERATION 153.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8173
ITERATION 154.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8216
ITERATION 155.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8127
ITERATION 156.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8148
ITERATION 157.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8151
ITERATION 158.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8103
ITERATION 159.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8203
ITERATION 160.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8144
ITERATION 161.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8128
ITERATION 162.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8139
ITERATION 163.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8147
