Logging
iteration 5650 | D LOSS = 1.3778 | G LOSS = 0.0137 | AVG R =0.4961 | mean_pen: 0.0000 |  
iteration 5700 | D LOSS = 1.3787 | G LOSS = 0.0120 | AVG R =0.4965 | mean_pen: 0.0001 |  
iteration 5750 | D LOSS = 1.3789 | G LOSS = 0.0108 | AVG R =0.4963 | mean_pen: 0.0001 |  
iteration 5800 | D LOSS = 1.3794 | G LOSS = 0.0084 | AVG R =0.4964 | mean_pen: 0.0001 |  
iteration 5850 | D LOSS = 1.3793 | G LOSS = 0.0019 | AVG R =0.4962 | mean_pen: 0.0000 |  
iteration 5900 | D LOSS = 1.3794 | G LOSS = 0.0112 | AVG R =0.4957 | mean_pen: 0.0000 |  
iteration 5950 | D LOSS = 1.3790 | G LOSS = 0.0086 | AVG R =0.4970 | mean_pen: 0.0001 |  
iteration 6000 | D LOSS = 1.3792 | G LOSS = 0.0082 | AVG R =0.4959 | mean_pen: 0.0001 |  
iteration 6050 | D LOSS = 1.3785 | G LOSS = 0.0120 | AVG R =0.4960 | mean_pen: 0.0001 |  
iteration 6100 | D LOSS = 1.3793 | G LOSS = 0.0067 | AVG R =0.4962 | mean_pen: 0.0001 |  
iteration 6150 | D LOSS = 1.3789 | G LOSS = 0.0172 | AVG R =0.4962 | mean_pen: 0.0001 |  
iteration 6200 | D LOSS = 1.3797 | G LOSS = 0.0172 | AVG R =0.4962 | mean_pen: 0.0000 |  
iteration 6250 | D LOSS = 1.3789 | G LOSS = 0.0157 | AVG R =0.4973 | mean_pen: 0.0000 |  
iteration 6300 | D LOSS = 1.3789 | G LOSS = 0.0131 | AVG R =0.4971 | mean_pen: 0.0001 |  
iteration 6350 | D LOSS = 1.3801 | G LOSS = 0.0156 | AVG R =0.4966 | mean_pen: 0.0000 |  
iteration 6400 | D LOSS = 1.3802 | G LOSS = 0.0211 | AVG R =0.4971 | mean_pen: 0.0001 |  
iteration 6450 | D LOSS = 1.3805 | G LOSS = 0.0145 | AVG R =0.4973 | mean_pen: 0.0001 |  
iteration 6500 | D LOSS = 1.3800 | G LOSS = 0.0077 | AVG R =0.4963 | mean_pen: 0.0000 |  
iteration 6550 | D LOSS = 1.3792 | G LOSS = 0.0227 | AVG R =0.4970 | mean_pen: 0.0000 |  
iteration 6600 | D LOSS = 1.3796 | G LOSS = 0.0155 | AVG R =0.4977 | mean_pen: 0.0001 |  
iteration 6650 | D LOSS = 1.3796 | G LOSS = 0.0167 | AVG R =0.4961 | mean_pen: 0.0001 |  
iteration 6700 | D LOSS = 1.3806 | G LOSS = 0.0121 | AVG R =0.4965 | mean_pen: 0.0000 |  
iteration 6750 | D LOSS = 1.3805 | G LOSS = 0.0142 | AVG R =0.4977 | mean_pen: 0.0001 |  
iteration 6800 | D LOSS = 1.3798 | G LOSS = 0.0234 | AVG R =0.4969 | mean_pen: 0.0001 |  
iteration 6850 | D LOSS = 1.3810 | G LOSS = 0.0237 | AVG R =0.4973 | mean_pen: 0.0000 |  
iteration 6900 | D LOSS = 1.3811 | G LOSS = 0.0177 | AVG R =0.4973 | mean_pen: 0.0000 |  
iteration 6950 | D LOSS = 1.3793 | G LOSS = 0.0208 | AVG R =0.4971 | mean_pen: 0.0001 |  
iteration 7000 | D LOSS = 1.3801 | G LOSS = 0.0206 | AVG R =0.4967 | mean_pen: 0.0001 |  
iteration 7050 | D LOSS = 1.3801 | G LOSS = 0.0215 | AVG R =0.4968 | mean_pen: 0.0000 |  
iteration 7100 | D LOSS = 1.3805 | G LOSS = 0.0159 | AVG R =0.4969 | mean_pen: 0.0000 |  
iteration 7150 | D LOSS = 1.3800 | G LOSS = 0.0204 | AVG R =0.4971 | mean_pen: 0.0000 |  
iteration 7200 | D LOSS = 1.3794 | G LOSS = 0.0135 | AVG R =0.4975 | mean_pen: 0.0001 |  
iteration 7250 | D LOSS = 1.3799 | G LOSS = 0.0167 | AVG R =0.4968 | mean_pen: 0.0000 |  
iteration 7300 | D LOSS = 1.3807 | G LOSS = 0.0231 | AVG R =0.4966 | mean_pen: 0.0001 |  
iteration 7350 | D LOSS = 1.3807 | G LOSS = 0.0171 | AVG R =0.4978 | mean_pen: 0.0001 |  
iteration 7400 | D LOSS = 1.3809 | G LOSS = 0.0187 | AVG R =0.4970 | mean_pen: 0.0000 |  
iteration 7450 | D LOSS = 1.3801 | G LOSS = 0.0210 | AVG R =0.4969 | mean_pen: 0.0000 |  
iteration 7500 | D LOSS = 1.3801 | G LOSS = 0.0172 | AVG R =0.4976 | mean_pen: 0.0000 |  
iteration 7550 | D LOSS = 1.3805 | G LOSS = 0.0274 | AVG R =0.4965 | mean_pen: 0.0001 |  
iteration 7600 | D LOSS = 1.3798 | G LOSS = 0.0205 | AVG R =0.4980 | mean_pen: 0.0000 |  
iteration 7650 | D LOSS = 1.3806 | G LOSS = 0.0324 | AVG R =0.4974 | mean_pen: 0.0000 |  
iteration 7700 | D LOSS = 1.3808 | G LOSS = 0.0200 | AVG R =0.4969 | mean_pen: 0.0000 |  
iteration 7750 | D LOSS = 1.3805 | G LOSS = 0.0274 | AVG R =0.4977 | mean_pen: 0.0000 |  
iteration 7800 | D LOSS = 1.3818 | G LOSS = 0.0231 | AVG R =0.4967 | mean_pen: 0.0000 |  
iteration 7850 | D LOSS = 1.3809 | G LOSS = 0.0285 | AVG R =0.4976 | mean_pen: 0.0001 |  
iteration 7900 | D LOSS = 1.3805 | G LOSS = 0.0194 | AVG R =0.4972 | mean_pen: 0.0000 |  
iteration 7950 | D LOSS = 1.3803 | G LOSS = 0.0276 | AVG R =0.4969 | mean_pen: 0.0000 |  
iteration 8000 | D LOSS = 1.3797 | G LOSS = 0.0283 | AVG R =0.4977 | mean_pen: 0.0000 |  
iteration 8050 | D LOSS = 1.3801 | G LOSS = 0.0258 | AVG R =0.4969 | mean_pen: 0.0000 |  
iteration 8100 | D LOSS = 1.3809 | G LOSS = 0.0269 | AVG R =0.4976 | mean_pen: 0.0000 |  
iteration 8150 | D LOSS = 1.3789 | G LOSS = 0.0279 | AVG R =0.4958 | mean_pen: 0.0000 |  
