Logging
iteration 4000 | D LOSS = 1.3494 | G LOSS = 0.0137 | AVG R =0.4821 | mean_pen: 0.0004 |  
iteration 4050 | D LOSS = 1.3515 | G LOSS = 0.0131 | AVG R =0.4819 | mean_pen: 0.0004 |  
iteration 4100 | D LOSS = 1.3512 | G LOSS = 0.0151 | AVG R =0.4832 | mean_pen: 0.0004 |  
iteration 4150 | D LOSS = 1.3524 | G LOSS = 0.0158 | AVG R =0.4824 | mean_pen: 0.0004 |  
iteration 4200 | D LOSS = 1.3530 | G LOSS = 0.0155 | AVG R =0.4831 | mean_pen: 0.0004 |  
iteration 4250 | D LOSS = 1.3530 | G LOSS = 0.0206 | AVG R =0.4830 | mean_pen: 0.0004 |  
iteration 4300 | D LOSS = 1.3528 | G LOSS = 0.0216 | AVG R =0.4829 | mean_pen: 0.0004 |  
iteration 4350 | D LOSS = 1.3517 | G LOSS = 0.0180 | AVG R =0.4834 | mean_pen: 0.0004 |  
iteration 4400 | D LOSS = 1.3521 | G LOSS = 0.0175 | AVG R =0.4832 | mean_pen: 0.0003 |  
iteration 4450 | D LOSS = 1.3527 | G LOSS = 0.0405 | AVG R =0.4832 | mean_pen: 0.0003 |  
iteration 4500 | D LOSS = 1.3518 | G LOSS = 0.0201 | AVG R =0.4827 | mean_pen: 0.0004 |  
iteration 4550 | D LOSS = 1.3516 | G LOSS = 0.0271 | AVG R =0.4825 | mean_pen: 0.0004 |  
iteration 4600 | D LOSS = 1.3529 | G LOSS = 0.0643 | AVG R =0.4834 | mean_pen: 0.0004 |  
iteration 4650 | D LOSS = 1.3551 | G LOSS = 0.0877 | AVG R =0.4833 | mean_pen: 0.0004 |  
iteration 4700 | D LOSS = 1.3517 | G LOSS = 0.0640 | AVG R =0.4832 | mean_pen: 0.0003 |  
iteration 4750 | D LOSS = 1.3532 | G LOSS = 0.0922 | AVG R =0.4832 | mean_pen: 0.0004 |  
iteration 4800 | D LOSS = 1.3538 | G LOSS = 0.0860 | AVG R =0.4836 | mean_pen: 0.0003 |  
iteration 4850 | D LOSS = 1.3538 | G LOSS = 0.0900 | AVG R =0.4830 | mean_pen: 0.0004 |  
iteration 4900 | D LOSS = 1.3520 | G LOSS = 0.0996 | AVG R =0.4834 | mean_pen: 0.0003 |  
iteration 4950 | D LOSS = 1.3518 | G LOSS = 0.0948 | AVG R =0.4829 | mean_pen: 0.0003 |  
iteration 5000 | D LOSS = 1.3539 | G LOSS = 0.0593 | AVG R =0.4822 | mean_pen: 0.0003 |  
iteration 5050 | D LOSS = 1.3513 | G LOSS = 0.0820 | AVG R =0.4830 | mean_pen: 0.0004 |  
iteration 5100 | D LOSS = 1.3519 | G LOSS = 0.0749 | AVG R =0.4829 | mean_pen: 0.0004 |  
iteration 5150 | D LOSS = 1.3508 | G LOSS = 0.0526 | AVG R =0.4824 | mean_pen: 0.0004 |  
iteration 5200 | D LOSS = 1.3512 | G LOSS = 0.0493 | AVG R =0.4827 | mean_pen: 0.0004 |  
iteration 5250 | D LOSS = 1.3506 | G LOSS = 0.0680 | AVG R =0.4814 | mean_pen: 0.0004 |  
iteration 5300 | D LOSS = 1.3480 | G LOSS = 0.0769 | AVG R =0.4816 | mean_pen: 0.0004 |  
iteration 5350 | D LOSS = 1.3511 | G LOSS = 0.0672 | AVG R =0.4817 | mean_pen: 0.0004 |  
iteration 5400 | D LOSS = 1.3521 | G LOSS = 0.0877 | AVG R =0.4822 | mean_pen: 0.0005 |  
iteration 5450 | D LOSS = 1.3519 | G LOSS = 0.0820 | AVG R =0.4818 | mean_pen: 0.0004 |  
