Logging
iteration 7600 | D LOSS = 1.3644 | G LOSS = 0.0084 | AVG R =0.4887 | mean_pen: 0.0001 |  
iteration 7650 | D LOSS = 1.3637 | G LOSS = 0.0115 | AVG R =0.4889 | mean_pen: 0.0001 |  
iteration 7700 | D LOSS = 1.3646 | G LOSS = 0.0065 | AVG R =0.4890 | mean_pen: 0.0001 |  
iteration 7750 | D LOSS = 1.3643 | G LOSS = 0.0059 | AVG R =0.4892 | mean_pen: 0.0001 |  
iteration 7800 | D LOSS = 1.3647 | G LOSS = 0.0098 | AVG R =0.4895 | mean_pen: 0.0001 |  
iteration 7850 | D LOSS = 1.3647 | G LOSS = 0.0120 | AVG R =0.4896 | mean_pen: 0.0001 |  
iteration 7900 | D LOSS = 1.3640 | G LOSS = 0.0084 | AVG R =0.4896 | mean_pen: 0.0001 |  
iteration 7950 | D LOSS = 1.3659 | G LOSS = 0.0079 | AVG R =0.4891 | mean_pen: 0.0001 |  
iteration 8000 | D LOSS = 1.3652 | G LOSS = 0.0084 | AVG R =0.4891 | mean_pen: 0.0001 |  
iteration 8050 | D LOSS = 1.3647 | G LOSS = 0.0082 | AVG R =0.4893 | mean_pen: 0.0001 |  
iteration 8100 | D LOSS = 1.3647 | G LOSS = 0.0074 | AVG R =0.4895 | mean_pen: 0.0001 |  
iteration 8150 | D LOSS = 1.3656 | G LOSS = 0.0045 | AVG R =0.4891 | mean_pen: 0.0001 |  
iteration 8200 | D LOSS = 1.3655 | G LOSS = 0.0078 | AVG R =0.4897 | mean_pen: 0.0001 |  
iteration 8250 | D LOSS = 1.3647 | G LOSS = 0.0090 | AVG R =0.4887 | mean_pen: 0.0001 |  
iteration 8300 | D LOSS = 1.3656 | G LOSS = 0.0119 | AVG R =0.4893 | mean_pen: 0.0001 |  
iteration 8350 | D LOSS = 1.3643 | G LOSS = 0.0095 | AVG R =0.4890 | mean_pen: 0.0001 |  
iteration 8400 | D LOSS = 1.3645 | G LOSS = 0.0093 | AVG R =0.4894 | mean_pen: 0.0001 |  
iteration 8450 | D LOSS = 1.3662 | G LOSS = 0.0087 | AVG R =0.4892 | mean_pen: 0.0001 |  
iteration 8500 | D LOSS = 1.3661 | G LOSS = 0.0072 | AVG R =0.4895 | mean_pen: 0.0001 |  
iteration 8550 | D LOSS = 1.3635 | G LOSS = 0.0083 | AVG R =0.4888 | mean_pen: 0.0001 |  
iteration 8600 | D LOSS = 1.3620 | G LOSS = 0.0085 | AVG R =0.4888 | mean_pen: 0.0001 |  
iteration 8650 | D LOSS = 1.3648 | G LOSS = 0.0066 | AVG R =0.4883 | mean_pen: 0.0001 |  
iteration 8700 | D LOSS = 1.3642 | G LOSS = 0.0084 | AVG R =0.4892 | mean_pen: 0.0001 |  
iteration 8750 | D LOSS = 1.3637 | G LOSS = 0.0064 | AVG R =0.4890 | mean_pen: 0.0001 |  
iteration 8800 | D LOSS = 1.3650 | G LOSS = 0.0117 | AVG R =0.4892 | mean_pen: 0.0001 |  
iteration 8850 | D LOSS = 1.3656 | G LOSS = 0.0121 | AVG R =0.4895 | mean_pen: 0.0001 |  
iteration 8900 | D LOSS = 1.3667 | G LOSS = 0.0093 | AVG R =0.4904 | mean_pen: 0.0001 |  
iteration 8950 | D LOSS = 1.3672 | G LOSS = 0.0099 | AVG R =0.4904 | mean_pen: 0.0001 |  
iteration 9000 | D LOSS = 1.3676 | G LOSS = 0.0082 | AVG R =0.4911 | mean_pen: 0.0001 |  
iteration 9050 | D LOSS = 1.3679 | G LOSS = 0.0072 | AVG R =0.4907 | mean_pen: 0.0001 |  
iteration 9100 | D LOSS = 1.3680 | G LOSS = 0.0121 | AVG R =0.4914 | mean_pen: 0.0001 |  
iteration 9150 | D LOSS = 1.3671 | G LOSS = 0.0155 | AVG R =0.4910 | mean_pen: 0.0001 |  
iteration 9200 | D LOSS = 1.3682 | G LOSS = 0.0163 | AVG R =0.4908 | mean_pen: 0.0001 |  
iteration 9250 | D LOSS = 1.3687 | G LOSS = 0.0133 | AVG R =0.4916 | mean_pen: 0.0001 |  
iteration 9300 | D LOSS = 1.3682 | G LOSS = 0.0134 | AVG R =0.4910 | mean_pen: 0.0001 |  
iteration 9350 | D LOSS = 1.3696 | G LOSS = 0.0118 | AVG R =0.4918 | mean_pen: 0.0001 |  
iteration 9400 | D LOSS = 1.3697 | G LOSS = 0.0113 | AVG R =0.4915 | mean_pen: 0.0001 |  
iteration 9450 | D LOSS = 1.3694 | G LOSS = 0.0095 | AVG R =0.4918 | mean_pen: 0.0001 |  
iteration 9500 | D LOSS = 1.3706 | G LOSS = 0.0093 | AVG R =0.4918 | mean_pen: 0.0001 |  
iteration 9550 | D LOSS = 1.3692 | G LOSS = 0.0104 | AVG R =0.4914 | mean_pen: 0.0001 |  
iteration 9600 | D LOSS = 1.3698 | G LOSS = 0.0102 | AVG R =0.4921 | mean_pen: 0.0001 |  
iteration 9650 | D LOSS = 1.3700 | G LOSS = 0.0117 | AVG R =0.4921 | mean_pen: 0.0001 |  
iteration 9700 | D LOSS = 1.3703 | G LOSS = 0.0129 | AVG R =0.4918 | mean_pen: 0.0001 |  
iteration 9750 | D LOSS = 1.3693 | G LOSS = 0.0129 | AVG R =0.4911 | mean_pen: 0.0001 |  
iteration 9800 | D LOSS = 1.3696 | G LOSS = 0.0156 | AVG R =0.4922 | mean_pen: 0.0001 |  
iteration 9850 | D LOSS = 1.3699 | G LOSS = 0.0117 | AVG R =0.4922 | mean_pen: 0.0001 |  
iteration 9900 | D LOSS = 1.3697 | G LOSS = 0.0144 | AVG R =0.4920 | mean_pen: 0.0001 |  
iteration 9950 | D LOSS = 1.3713 | G LOSS = 0.0143 | AVG R =0.4918 | mean_pen: 0.0001 |  
