tag,iters,data_size,seed,cwc,r2r_auc,r2r_acc,s2h_auc,s2h_acc,s2r_auc,s2r_acc,r2s_auc,r2s_acc,rvs_auc,rvs_acc,real_mem_auc,real_mem_auc_bal,synth_mem_auc,synth_mem_auc_bal,elapsed_time
ehr_trial16_seed2,5000,0.9,2,675.0839769174936,0.8765925089588122,0.8050751528958248,0.7688445408450384,0.6871892497200449,0.9164626254182149,0.8498400735624783,0.8222535693954534,0.7638,1.0,1.0,1.0,0.9069767441860463,0.6044727281050757,0.5894631451443488,3.65008233388265
ehr_trial16_seed3,5000,0.9,3,756.5338342681466,0.8654651173253688,0.8072943242211711,0.7785157033399726,0.7172413793103447,0.8713747935576098,0.8017547563912002,0.8081397327184836,0.7516,1.0,1.0,1.0,0.8919540229885059,0.5055501381439949,0.5217915180340864,3.9677046020825704
ehr_trial16_seed4,5000,0.9,4,778.7900019536191,0.8627252124199274,0.7981288807517424,0.650942376101544,0.6392894461859979,0.8295282561366465,0.7554526582822877,0.805993095231225,0.7374,1.0,0.999779553579293,1.0,0.9041095890410958,0.5440596381119795,0.5495975897083046,4.278481622536977
ehr_trial16_seed5,5000,0.9,5,673.9919052950797,0.8664849072599177,0.8040733142331888,0.8367365212102055,0.8209985666507406,0.9235200684620466,0.8550808430819361,0.8191644451182014,0.7632000000000001,1.0,0.9998898071625344,1.0,0.9082969432314411,0.63970667740081,0.6380909021567095,3.481822196642558
ehr_trial16_seed6,5000,0.9,6,668.7931270704115,0.8648276468656799,0.7991112337655778,0.8238900273224044,0.714739608217869,0.9222497591366215,0.8469031739979626,0.8246800184945098,0.7630000000000001,1.0,0.9998898071625344,1.0,0.8845315904139434,0.5341462398266483,0.5426569078369669,3.658136336008708
ehr_trial16_seed7,5000,0.9,7,684.6384927279105,0.8756561111940215,0.8059880649986251,0.8291136090799955,0.7094749694749696,0.9160097758140087,0.8489601586412885,0.8264652291780896,0.762,1.0,0.9998898071625344,1.0,0.902439024390244,0.6308410200641854,0.6442495366296135,3.683978037039439
ehr_trial16_seed8,5000,0.9,8,665.3803803383516,0.8726480628756587,0.8107397705102011,0.7575022301516503,0.7095939406690512,0.917460750998335,0.834149899384801,0.8196865831415083,0.7632,1.0,0.9998898071625344,0.9999999999999999,0.8997955010224947,0.6000360197062651,0.5966414493080909,3.4743844509124755
ehr_trial16_seed9,5000,0.9,9,666.7949707183967,0.8743583233447083,0.7934205580353566,0.7856840254044202,0.7455056179775281,0.9206412094449362,0.8434985208853479,0.8400614312402009,0.7712000000000001,1.0,1.0,1.0,0.867117117117117,0.48487227148966705,0.4790423869815762,4.311115757624308
ehr_trial12_seed0,500,0.9,0,719.3626904173797,0.8734515411356998,0.8136716856729374,0.7983704390847247,0.7237935977066411,0.9002291326061119,0.836437731008844,0.8202548902594865,0.7511999999999999,1.0,0.9996693607418274,1.0,0.8728070175438597,0.5430323772553167,0.5187918397968606,0.6444223165512085
ehr_trial12_seed1,500,0.9,1,724.252617110699,0.8714615022660344,0.8038536220980095,0.7722100957581901,0.7537290033594625,0.8931474960780982,0.8325765748162617,0.82075345079761,0.7562,1.0,0.9998898071625344,1.0,0.9002123142250531,0.585559081942012,0.5788672968477422,0.6419889410336812
ehr_trial12_seed2,500,0.9,2,723.1088362909024,0.8765925089588122,0.8050751528958248,0.771954779700448,0.7314893617021277,0.8974260221805344,0.8380254509808497,0.8491028609722141,0.781,1.0,1.0,1.0,0.9069767441860463,0.573366308201961,0.5623075238346392,0.643346083164215
ehr_trial12_seed3,500,0.9,3,799.9210296894279,0.8654651173253688,0.8072943242211711,0.7183443760580277,0.7264367816091954,0.8592638285918675,0.8008011268311573,0.8629884266676721,0.7886,1.0,1.0,1.0,0.8919540229885059,0.5021402511810892,0.5240560179680275,0.6844462752342224
ehr_trial12_seed4,500,0.9,4,837.7090989221829,0.8627252124199274,0.7981288807517424,0.7332517912725363,0.712251828631139,0.8516609032134745,0.7789500986763688,0.8697478763903378,0.7896,1.0,0.9998898071625344,1.0,0.9041095890410958,0.563412002704747,0.5651310439732282,0.6854984641075135
ehr_trial12_seed5,500,0.9,5,718.4936585247622,0.8664849072599177,0.8040733142331888,0.7643641248904407,0.6967271858576207,0.8986846935386982,0.8213743079692127,0.8067383260055363,0.7444,1.0,0.9998898071625344,1.0,0.9082969432314411,0.6311413984290609,0.6342341869910948,0.6433206160863241
ehr_trial12_seed6,500,0.9,6,721.4714577474831,0.8648276468656799,0.7991112337655778,0.8440414573417945,0.7407787864309603,0.9010346021593219,0.8116070930401488,0.8415021132507293,0.7636000000000001,1.0,0.999779553579293,1.0,0.8845315904139434,0.5069288845721931,0.5091014377186363,0.6440170725186666
ehr_trial12_seed7,500,0.9,7,727.1895088960015,0.8756561111940215,0.8059880649986251,0.7907188693659283,0.7205860805860806,0.8966247511553807,0.8350311400781397,0.8368369678636478,0.7726,1.0,1.0,1.0,0.902439024390244,0.6161873923504955,0.6218406005870176,0.6512977083524069
ehr_trial12_seed8,500,0.9,8,725.1907928375875,0.8726480628756587,0.8107397705102011,0.7323416592328278,0.6912686724174206,0.9047547412095112,0.8253206869232818,0.832160424855528,0.7564,1.0,1.0,0.9999999999999999,0.8997955010224947,0.5699385997882264,0.5627130197682344,0.6430323521296183
ehr_trial12_seed9,500,0.9,9,713.7377024556916,0.8743583233447083,0.7934205580353566,0.7299746169400774,0.6305924412665986,0.8964094521449179,0.7732731005055226,0.8339103387128347,0.7588,1.0,1.0,1.0,0.867117117117117,0.4946282710758646,0.4907398953007061,0.6432205637296041
emr_trial9_seed0,30000,0.9,0,1367.7961691363032,0.8734515411356998,0.8136716856729374,0.7806993403421976,0.6797419971333014,0.7298147693237296,0.6189756228459724,0.5677453606707179,0.3769011457630082,1.0,1.0,1.0,0.8728070175438597,0.4799885648942252,0.4622263581101877,0.0036292950312296
emr_trial9_seed1,30000,0.9,1,1346.9464402764129,0.8714615022660344,0.8038536220980095,0.7323164816359009,0.636909294512878,0.6641149976817451,0.5999247446888474,0.5533680984725173,0.3771216529294911,1.0,1.0,1.0,0.9002123142250531,0.4961907715893698,0.4845948224178578,0.0035127798716227
emr_trial9_seed2,30000,0.9,2,1458.6643648315062,0.8765925089588122,0.8050751528958248,0.7007078279607597,0.7356774916013438,0.6944269730971964,0.6849902292431197,0.5543654269459362,0.3769011457630082,1.0,1.0,1.0,0.9069767441860463,0.5216082843635031,0.5032405276025906,0.0035565376281738
emr_trial9_seed3,30000,0.9,3,1280.8131217998498,0.8654651173253688,0.8072943242211711,0.6865154193308097,0.6689655172413793,0.7196079624669862,0.695520049141013,0.6173855540066591,0.3967348911306577,1.0,1.0,1.0,0.8919540229885059,0.4572112286128997,0.4787554498612762,0.0036557555198669
emr_trial9_seed4,30000,0.9,4,1240.2754021444534,0.8627252124199274,0.7981288807517424,0.7379876733163554,0.6894461859979101,0.7178560836467197,0.6916049093054454,0.6228459392850827,0.3771216529294911,1.0,1.0,1.0,0.9041095890410958,0.4894182900161639,0.5029190383853548,0.00366184314092
emr_trial9_seed5,30000,0.9,5,1292.102708711983,0.8664849072599177,0.8040733142331888,0.7322204022204023,0.67044911610129,0.6997285170248281,0.6468907073078605,0.626493299970796,0.3841773965583397,1.0,1.0,1.0,0.9082969432314412,0.5350859819867657,0.5456846742052974,0.0034449021021525
emr_trial9_seed6,30000,0.9,6,1434.3023221698527,0.8648276468656799,0.7991112337655778,0.8153088092719901,0.7233635929288104,0.7824679374452677,0.6913613343830737,0.6224415236680357,0.3782241887619056,1.0,1.0,1.0,0.8845315904139434,0.4557039152645419,0.4513363805943582,0.0034367799758911
emr_trial9_seed7,30000,0.9,7,1389.2007967854072,0.8756561111940215,0.8059880649986251,0.7781431845465459,0.6497191697191697,0.7272933777328375,0.6411825788162833,0.6577549667554127,0.380869789061096,1.0,1.0,1.0,0.902439024390244,0.5548742501842319,0.5610001917394702,0.0035110314687093
emr_trial9_seed8,30000,0.9,8,1356.8535027270214,0.8726480628756587,0.8107397705102011,0.7585838537020517,0.6911634756995582,0.7859651400478306,0.7224976493868418,0.745728285868888,0.3788852245627497,1.0,1.0,1.0,0.8997955010224947,0.5157620314912259,0.4966627774223092,0.0034636139869689
