tag,iters,data_size,seed,cwc,overall_real_num,overall_hold_num,overall_real_cat,overall_hold_cat,overall_real,overall_hold,r2r_auc,r2r_acc,s2h_auc,s2h_acc,s2r_auc,s2r_acc,r2s_auc,r2s_acc,rvs_auc,rvs_acc,real_mem_auc,real_mem_auc_bal,synth_mem_auc,synth_mem_auc_bal,elapsed_time
no_value4,30000,0.9,4,573.9367791413027,0.0566927427159966,0.04917160441368828,0.007465792576893686,0.026918544906560805,0.03207926764644514,0.038045074660124543,0.8627252124199274,0.7981288807517424,0.8400909658218125,0.7213949843260188,0.8701888460239295,0.8127779911056712,0.8286163112533812,0.7628,0.9123631756373495,0.8350227341066271,1.0,0.9041095890410958,0.5178994542604779,0.5132842309376368,23.158774284521737
reparam_gan_cat_0,30000,0.9,0,672.9224102772033,0.0553221116293568,0.06110994089332806,0.0035464164584336376,0.04348652034148912,0.02943426404389522,0.05229823061740859,0.8734515411356998,0.8136716856729374,0.8543552875695732,0.7982799808886766,0.8967757255444777,0.8263690118002416,0.8711839524040499,0.7962,0.998423901602111,0.9767475496672651,1.0,0.8728070175438597,0.5470064526668299,0.531281259618344,15.4513143658638
ppo_epochs_10,30000,0.9,0,862.2127076752034,0.0397908320030386,0.10184902347299132,0.012454484353058376,0.0529978336081799,0.02612265817804849,0.07742342854058562,0.8734515411356998,0.8136716856729374,0.6836152339723768,0.6381748686096512,0.7828851705566668,0.7233291866172388,0.6718270448889536,0.6352,0.9998497627651487,0.9970244289137744,1.0,0.8728070175438597,0.5275734898997064,0.5161227493074791,19.935413483778635
reparam_gan_cat_1,30000,0.9,1,668.9806764285457,0.055154817844103754,0.054002041766740935,0.012956116767312797,0.041150836340968784,0.03405546730570828,0.04757643905385486,0.8714615022660344,0.8038536220980095,0.8996129750440096,0.7897648376259798,0.8728607764238564,0.8020236184684627,0.8108884290577603,0.7474000000000001,0.9695149061892423,0.9065465722677309,1.0,0.9002123142250531,0.5329664046418804,0.528896822498997,16.591761032740276
ppo_epochs_11,30000,0.9,1,826.6489316441925,0.038576830721113904,0.09579747176584179,0.00903615824591232,0.039725429021194636,0.023806494483513112,0.06776145039351822,0.8714615022660344,0.8038536220980095,0.8178194982641444,0.717625979843225,0.7837696112409521,0.7449101881955051,0.7053379884819717,0.6524000000000001,0.9999120866783192,0.9953713541144633,1.0,0.9002123142250531,0.5181811678431152,0.5142917675271929,19.70397935708364
reparam_gan_cat_2,30000,0.9,2,698.3363823333518,0.052342161190811205,0.05347902162017589,0.012759871081663326,0.03273774810316685,0.03255101613623727,0.04310838486167137,0.8765925089588122,0.8050751528958248,0.8330383814503639,0.7358566629339306,0.8558473511638098,0.7850952391845032,0.8287424352632229,0.7538000000000001,0.9770343721673216,0.9171252061559769,1.0,0.9069767441860463,0.5443657297198315,0.5299134220418453,16.599527116616567
ppo_epochs_12,30000,0.9,2,875.4157437091361,0.03791204567061094,0.09171159950085948,0.017271664692335282,0.0357007023043968,0.027591855181473113,0.06370615090262814,0.8765925089588122,0.8050751528958248,0.7453596216622315,0.7632474804031355,0.7574068098871558,0.7134211312668937,0.6496587333065912,0.6104,0.9999599207616194,0.9962528968141878,1.0,0.9069767441860463,0.5298365683940671,0.5074755619521832,19.500350952148438
reparam_gan_cat_3,30000,0.9,3,688.461415420387,0.05229419429240094,0.05215362540388713,0.006727623997189099,0.04898134767202797,0.029510909144795018,0.05056748653795755,0.8654651173253688,0.8072943242211711,0.8464336296744733,0.7655172413793103,0.8552812111088347,0.791889472127431,0.7777516498602661,0.7197999999999999,0.9654947542060629,0.9014764868287971,1.0,0.8919540229885059,0.4757928568626462,0.5064869863918615,16.384936598936715
ppo_epochs_13,30000,0.9,3,805.4847552401166,0.03847789787947938,0.09605747567403466,0.007292204548178609,0.05112913246855166,0.022885051213828996,0.07359330407129316,0.8654651173253688,0.8072943242211711,0.8305536559328642,0.6620689655172414,0.8052929189438383,0.7287797030169021,0.7574548372830077,0.6914,0.9999040174948316,0.9968039824930675,1.0,0.8919540229885059,0.44413154222498696,0.45784383670233847,19.613456118106843
reparam_gan_cat_4,30000,0.9,4,690.6308089240827,0.04911536031979292,0.06000405555211587,0.0037914556807394995,0.024821293286120684,0.02645340800026621,0.04241267441911828,0.8627252124199274,0.7981288807517424,0.8693158046325491,0.8150470219435737,0.8668480616041003,0.8017743258100174,0.8265438464027612,0.751,0.9731521030297081,0.9208726738164446,1.0,0.9041095890410958,0.5103424824631466,0.5171337128083234,16.34936369260152
