Logging
iteration 4450 | D LOSS = 1.3689 | G LOSS = 0.7150 | mean_pen: 0.0001 |  
iteration 4500 | D LOSS = 1.3648 | G LOSS = 0.7129 | mean_pen: 0.0001 |  
iteration 4550 | D LOSS = 1.3669 | G LOSS = 0.7134 | mean_pen: 0.0001 |  
iteration 4600 | D LOSS = 1.3674 | G LOSS = 0.7137 | mean_pen: 0.0001 |  
iteration 4650 | D LOSS = 1.3676 | G LOSS = 0.7121 | mean_pen: 0.0001 |  
iteration 4700 | D LOSS = 1.3663 | G LOSS = 0.7135 | mean_pen: 0.0001 |  
iteration 4750 | D LOSS = 1.3662 | G LOSS = 0.7120 | mean_pen: 0.0001 |  
iteration 4800 | D LOSS = 1.3670 | G LOSS = 0.7124 | mean_pen: 0.0001 |  
iteration 4850 | D LOSS = 1.3644 | G LOSS = 0.7128 | mean_pen: 0.0001 |  
iteration 4900 | D LOSS = 1.3636 | G LOSS = 0.7134 | mean_pen: 0.0001 |  
iteration 4950 | D LOSS = 1.3681 | G LOSS = 0.7125 | mean_pen: 0.0001 |  
iteration 5000 | D LOSS = 1.3664 | G LOSS = 0.7139 | mean_pen: 0.0001 |  
iteration 5050 | D LOSS = 1.3668 | G LOSS = 0.7124 | mean_pen: 0.0001 |  
iteration 5100 | D LOSS = 1.3675 | G LOSS = 0.7150 | mean_pen: 0.0001 |  
iteration 5150 | D LOSS = 1.3647 | G LOSS = 0.7150 | mean_pen: 0.0001 |  
iteration 5200 | D LOSS = 1.3680 | G LOSS = 0.7147 | mean_pen: 0.0001 |  
iteration 5250 | D LOSS = 1.3670 | G LOSS = 0.7146 | mean_pen: 0.0001 |  
iteration 5300 | D LOSS = 1.3664 | G LOSS = 0.7122 | mean_pen: 0.0001 |  
iteration 5350 | D LOSS = 1.3697 | G LOSS = 0.7155 | mean_pen: 0.0001 |  
iteration 5400 | D LOSS = 1.3654 | G LOSS = 0.7116 | mean_pen: 0.0002 |  
iteration 5450 | D LOSS = 1.3667 | G LOSS = 0.7132 | mean_pen: 0.0001 |  
iteration 5500 | D LOSS = 1.3669 | G LOSS = 0.7123 | mean_pen: 0.0001 |  
iteration 5550 | D LOSS = 1.3702 | G LOSS = 0.7127 | mean_pen: 0.0002 |  
iteration 5600 | D LOSS = 1.3666 | G LOSS = 0.7098 | mean_pen: 0.0002 |  
iteration 5650 | D LOSS = 1.3731 | G LOSS = 0.7099 | mean_pen: 0.0001 |  
iteration 5700 | D LOSS = 1.3643 | G LOSS = 0.7084 | mean_pen: 0.0001 |  
iteration 5750 | D LOSS = 1.3661 | G LOSS = 0.7130 | mean_pen: 0.0002 |  
iteration 5800 | D LOSS = 1.3703 | G LOSS = 0.7120 | mean_pen: 0.0001 |  
iteration 5850 | D LOSS = 1.3683 | G LOSS = 0.7114 | mean_pen: 0.0002 |  
iteration 5900 | D LOSS = 1.3682 | G LOSS = 0.7075 | mean_pen: 0.0002 |  
iteration 5950 | D LOSS = 1.3704 | G LOSS = 0.7059 | mean_pen: 0.0002 |  
iteration 6000 | D LOSS = 1.3684 | G LOSS = 0.7107 | mean_pen: 0.0001 |  
iteration 6050 | D LOSS = 1.3668 | G LOSS = 0.7141 | mean_pen: 0.0002 |  
iteration 6100 | D LOSS = 1.3674 | G LOSS = 0.7119 | mean_pen: 0.0002 |  
iteration 6150 | D LOSS = 1.3731 | G LOSS = 0.7096 | mean_pen: 0.0001 |  
iteration 6200 | D LOSS = 1.3724 | G LOSS = 0.7126 | mean_pen: 0.0002 |  
iteration 6250 | D LOSS = 1.3723 | G LOSS = 0.7100 | mean_pen: 0.0001 |  
iteration 6300 | D LOSS = 1.3712 | G LOSS = 0.7093 | mean_pen: 0.0001 |  
iteration 6350 | D LOSS = 1.3690 | G LOSS = 0.7062 | mean_pen: 0.0001 |  
iteration 6400 | D LOSS = 1.3723 | G LOSS = 0.7076 | mean_pen: 0.0001 |  
iteration 6450 | D LOSS = 1.3677 | G LOSS = 0.7092 | mean_pen: 0.0001 |  
iteration 6500 | D LOSS = 1.3695 | G LOSS = 0.7074 | mean_pen: 0.0001 |  
iteration 6550 | D LOSS = 1.3734 | G LOSS = 0.7063 | mean_pen: 0.0001 |  
