Logging
iteration 12550 | D LOSS = 1.1407 | G LOSS = 0.9451 | mean_pen: 0.0000 |  
iteration 12600 | D LOSS = 1.1628 | G LOSS = 0.9404 | mean_pen: 0.0000 |  
iteration 12650 | D LOSS = 1.1431 | G LOSS = 0.9432 | mean_pen: 0.0000 |  
iteration 12700 | D LOSS = 1.1499 | G LOSS = 0.9475 | mean_pen: 0.0000 |  
iteration 12750 | D LOSS = 1.1349 | G LOSS = 0.9364 | mean_pen: 0.0000 |  
iteration 12800 | D LOSS = 1.1392 | G LOSS = 0.9529 | mean_pen: 0.0000 |  
iteration 12850 | D LOSS = 1.1615 | G LOSS = 0.9484 | mean_pen: 0.0000 |  
iteration 12900 | D LOSS = 1.1585 | G LOSS = 0.9410 | mean_pen: 0.0000 |  
iteration 12950 | D LOSS = 1.1520 | G LOSS = 0.9493 | mean_pen: 0.0000 |  
iteration 13000 | D LOSS = 1.1621 | G LOSS = 0.9444 | mean_pen: 0.0000 |  
iteration 13050 | D LOSS = 1.1571 | G LOSS = 0.9399 | mean_pen: 0.0000 |  
iteration 13100 | D LOSS = 1.1822 | G LOSS = 0.9441 | mean_pen: 0.0000 |  
iteration 13150 | D LOSS = 1.1707 | G LOSS = 0.9464 | mean_pen: 0.0000 |  
iteration 13200 | D LOSS = 1.1830 | G LOSS = 0.9461 | mean_pen: 0.0000 |  
iteration 13250 | D LOSS = 1.1515 | G LOSS = 0.9397 | mean_pen: 0.0000 |  
iteration 13300 | D LOSS = 1.1802 | G LOSS = 0.9434 | mean_pen: 0.0000 |  
iteration 13350 | D LOSS = 1.1454 | G LOSS = 0.9540 | mean_pen: 0.0000 |  
iteration 13400 | D LOSS = 1.1541 | G LOSS = 0.9417 | mean_pen: 0.0000 |  
iteration 13450 | D LOSS = 1.1890 | G LOSS = 0.9476 | mean_pen: 0.0000 |  
iteration 13500 | D LOSS = 1.1264 | G LOSS = 0.9407 | mean_pen: 0.0000 |  
iteration 13550 | D LOSS = 1.2269 | G LOSS = 0.9528 | mean_pen: 0.0000 |  
iteration 13600 | D LOSS = 1.1456 | G LOSS = 0.9527 | mean_pen: 0.0000 |  
iteration 13650 | D LOSS = 1.1536 | G LOSS = 0.9483 | mean_pen: 0.0000 |  
iteration 13700 | D LOSS = 1.1562 | G LOSS = 0.9476 | mean_pen: 0.0000 |  
iteration 13750 | D LOSS = 1.1452 | G LOSS = 0.9422 | mean_pen: 0.0000 |  
iteration 13800 | D LOSS = 1.2099 | G LOSS = 0.9482 | mean_pen: 0.0000 |  
iteration 13850 | D LOSS = 1.1705 | G LOSS = 0.9551 | mean_pen: 0.0000 |  
iteration 13900 | D LOSS = 1.1692 | G LOSS = 0.9444 | mean_pen: 0.0000 |  
iteration 13950 | D LOSS = 1.1988 | G LOSS = 0.9490 | mean_pen: 0.0000 |  
iteration 14000 | D LOSS = 1.1663 | G LOSS = 0.9569 | mean_pen: 0.0000 |  
iteration 14050 | D LOSS = 1.1622 | G LOSS = 0.9534 | mean_pen: 0.0000 |  
iteration 14100 | D LOSS = 1.1378 | G LOSS = 0.9545 | mean_pen: 0.0000 |  
iteration 14150 | D LOSS = 1.1622 | G LOSS = 0.9520 | mean_pen: 0.0000 |  
iteration 14200 | D LOSS = 1.1615 | G LOSS = 0.9493 | mean_pen: 0.0000 |  
