Logging
ITERATION 212.0000 | TOTAL G LOSS -2.3106
ITERATION 213.0000 | TOTAL G LOSS -3.4519
ITERATION 214.0000 | TOTAL G LOSS -3.5904
ITERATION 215.0000 | TOTAL G LOSS 1.2012
ITERATION 216.0000 | TOTAL G LOSS -1.1766
ITERATION 217.0000 | TOTAL G LOSS -1.1547
ITERATION 218.0000 | TOTAL G LOSS -4.3885
ITERATION 219.0000 | TOTAL G LOSS 0.5720
ITERATION 220.0000 | TOTAL G LOSS -2.9750
ITERATION 221.0000 | TOTAL G LOSS -2.7447
ITERATION 222.0000 | TOTAL G LOSS -3.4894
ITERATION 223.0000 | TOTAL G LOSS -0.4488
ITERATION 224.0000 | TOTAL G LOSS -2.6497
ITERATION 225.0000 | TOTAL G LOSS 0.8931
ITERATION 226.0000 | TOTAL G LOSS -4.7405
ITERATION 227.0000 | TOTAL G LOSS -2.5514
ITERATION 228.0000 | TOTAL G LOSS -1.7471
ITERATION 229.0000 | TOTAL G LOSS -2.2882
ITERATION 230.0000 | TOTAL G LOSS 0.9423
ITERATION 231.0000 | TOTAL G LOSS -6.7448
ITERATION 232.0000 | TOTAL G LOSS 1.4527
ITERATION 233.0000 | TOTAL G LOSS -2.8124
ITERATION 234.0000 | TOTAL G LOSS -1.8146
ITERATION 235.0000 | TOTAL G LOSS 0.6823
ITERATION 236.0000 | TOTAL G LOSS -0.2947
ITERATION 237.0000 | TOTAL G LOSS -0.6323
ITERATION 238.0000 | TOTAL G LOSS 0.2082
ITERATION 239.0000 | TOTAL G LOSS -1.7697
ITERATION 240.0000 | TOTAL G LOSS -2.1623
ITERATION 241.0000 | TOTAL G LOSS 0.1015
ITERATION 242.0000 | TOTAL G LOSS 0.2049
ITERATION 243.0000 | TOTAL G LOSS 0.0294
ITERATION 244.0000 | TOTAL G LOSS 1.1983
ITERATION 245.0000 | TOTAL G LOSS 1.8313
ITERATION 246.0000 | TOTAL G LOSS 1.7884
ITERATION 247.0000 | TOTAL G LOSS 2.3279
ITERATION 248.0000 | TOTAL G LOSS 0.1444
ITERATION 249.0000 | TOTAL G LOSS 3.2042
